pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
1,0.04599860490011894,-3.817019995463555,-3.817019995463555,[0. 0. 0.],[0. 0. 0.]
2,0.2550758006610098,-2.0232188651940777,-2.0232188651940777,[0. 0. 0.],[0. 0. 0.]
6,0.0,-4.431711719970398,1.0,[0. 0. 0.],[0. 0. 0.]
7,0.0,-1.879189902977257,1.0,[0. 0. 0.],[0. 0. 0.]
21,0.0,-2.2940299405385933,1.0,[-0.70316294 -1.34127693 -1.64807654],[-0.70316294 -1.34127693 -1.64807654]
11,0.0,-1.8539628716515335,1.0,[0. 0. 0.],[0. 0. 0.]
12,0.25906271923454155,-1.8279164308788691,-1.8279164308788691,[0. 0. 0.],[0. 0. 0.]
15,0.23922766720631058,-2.1584397946735105,-2.1584397946735105,[0. 0. 0.],[0. 0. 0.]
16,0.21326970629190972,-2.2527960220359016,-2.2527960220359016,[0. 0. 0.],[0. 0. 0.]
121,0.0,-2.0879642464179047,1.0,[-0.48238797 -1.20387283 -0.24312716],[-0.48238797 -1.20387283 -0.24312716]
250,0.07348239260288772,-6.6144200880850565,-7.003893076772901,[-0.9558359  -0.72252542 -0.27319529],[-0.9558359  -0.72252542 -0.27319529]
25,0.0,-1.9964205362606455,1.0,[0. 0. 0.],[0. 0. 0.]
27,0.20567609680232107,-1.892840020544036,-1.892840020544036,[0. 0. 0.],[0. 0. 0.]
34,0.0,-4.241999790522541,1.0,[0. 0. 0.],[0. 0. 0.]
37,0.2231798335962669,-1.7963666416090376,-1.7963666416090376,[0. 0. 0.],[0. 0. 0.]
38,0.22747302850602236,-1.7775360495824706,-1.7775360495824706,[0. 0. 0.],[0. 0. 0.]
40,0.0,-3.528983695971051,1.0,[0. 0. 0.],[0. 0. 0.]
43,0.0,-2.1799225902789936,1.0,[0. 0. 0.],[0. 0. 0.]
51,0.27006241938857256,-1.965639665073731,-1.965639665073731,[0. 0. 0.],[0. 0. 0.]
354,0.0,-5.878169733671756,1.0,[-1.61730177 -1.19102866 -1.21579886],[-1.61730177 -1.19102866 -1.21579886]
53,0.25634541062077226,-2.0222760380686116,-2.0222760380686116,[0. 0. 0.],[0. 0. 0.]
55,0.0,-4.62424768629649,1.0,[0. 0. 0.],[0. 0. 0.]
57,0.2833356237887309,-1.7436424131192154,-1.7436424131192154,[0. 0. 0.],[0. 0. 0.]
58,0.05561456613664591,-3.9516048349799657,-3.9516048349799657,[0. 0. 0.],[0. 0. 0.]
59,0.0,-3.72753307443198,1.0,[0. 0. 0.],[0. 0. 0.]
60,0.0,-1.8698633033576815,1.0,[0. 0. 0.],[0. 0. 0.]
62,0.0,-1.9275554646137028,1.0,[0. 0. 0.],[0. 0. 0.]
64,0.0,-1.8583887798470011,1.0,[0. 0. 0.],[0. 0. 0.]
65,0.0,-3.947998370426861,1.0,[0. 0. 0.],[0. 0. 0.]
68,0.0,-4.84930793623321,1.0,[0. 0. 0.],[0. 0. 0.]
70,0.0,-1.8817560098800339,1.0,[0. 0. 0.],[0. 0. 0.]
71,0.00029659768475417584,-4.161176190297595,-4.161176190297595,[0. 0. 0.],[0. 0. 0.]
72,0.0,-1.8730835945859912,1.0,[0. 0. 0.],[0. 0. 0.]
73,0.05029330520435665,-4.100786867914995,-4.100786867914995,[0. 0. 0.],[0. 0. 0.]
404,0.07365725446674111,-4.669113539154158,-5.220193038600622,[-1.34127693 -1.64807654 -2.62628897],[-1.34127693 -1.64807654 -2.62628897]
75,0.17695670445672448,-2.4648443936266338,-2.4648443936266338,[0. 0. 0.],[0. 0. 0.]
79,0.20705194082231135,-1.8810341583121888,-1.8810341583121888,[0. 0. 0.],[0. 0. 0.]
81,0.21348554848245316,-1.8476501371389502,-1.8476501371389502,[0. 0. 0.],[0. 0. 0.]
82,0.2113888403447746,-1.8539482134233334,-1.8539482134233334,[0. 0. 0.],[0. 0. 0.]
83,0.16320515430000382,-1.8174453818042748,-1.8174453818042748,[0. 0. 0.],[0. 0. 0.]
84,0.2099636226353675,-1.8549535608556942,-1.8549535608556942,[0. 0. 0.],[0. 0. 0.]
93,0.0,-3.909995554402912,1.0,[-1.59852554  0.          0.        ],[-1.59852554  0.          0.        ]
87,0.0,-2.4579539858479595,1.0,[0. 0. 0.],[0. 0. 0.]
88,0.1625516565444092,-1.76554635579366,-1.76554635579366,[0. 0. 0.],[0. 0. 0.]
89,0.1676231754293087,-1.7305451594987546,-1.7305451594987546,[0. 0. 0.],[0. 0. 0.]
90,0.0,-2.2748345255865083,1.0,[0. 0. 0.],[0. 0. 0.]
132,0.0,-2.973160075461238,1.0,[-1.03749279  0.          0.        ],[-1.03749279  0.          0.        ]
94,0.22908176916561407,-1.765912846169246,-1.765912846169246,[0. 0. 0.],[0. 0. 0.]
95,0.0,-2.030324237334207,1.0,[0. 0. 0.],[0. 0. 0.]
96,0.0,-3.884919284100576,1.0,[0. 0. 0.],[0. 0. 0.]
97,0.03357936650963111,-3.6217707902816993,-3.6217707902816993,[0. 0. 0.],[0. 0. 0.]
99,0.22908924071168563,-1.7652203863565714,-1.7652203863565714,[0. 0. 0.],[0. 0. 0.]
100,0.27013390174117996,-1.7711732504375897,-1.7711732504375897,[0. 0. 0.],[0. 0. 0.]
459,0.0,-2.657702008374839,1.0,[-1.1939076  -0.42812099 -1.10654236],[-1.1939076  -0.42812099 -1.10654236]
103,0.0,-4.380201137161206,1.0,[0. 0. 0.],[0. 0. 0.]
108,0.047089087581192186,-4.092798084558755,-4.092798084558755,[0. 0. 0.],[0. 0. 0.]
109,0.2235452433752608,-2.169610281532578,-2.169610281532578,[0. 0. 0.],[0. 0. 0.]
625,0.0,-2.7795282642949273,1.0,[-1.20387283 -0.24312716 -2.95897116],[-1.20387283 -0.24312716 -2.95897116]
715,0.0,-2.16662129552663,1.0,[-0.72252542 -0.27319529 -0.91279176],[-0.72252542 -0.27319529 -0.91279176]
114,0.04076770520979449,-4.330387416373204,-4.330387416373204,[0. 0. 0.],[0. 0. 0.]
116,0.0,-4.018568842632885,1.0,[0. 0. 0.],[0. 0. 0.]
117,0.0,-1.8665966817674584,1.0,[0. 0. 0.],[0. 0. 0.]
118,0.22561070226978808,-1.9959575950545374,-1.9959575950545374,[0. 0. 0.],[0. 0. 0.]
1010,0.0,-5.80714754647863,1.0,[-1.54557446 -1.36872505 -2.10103352],[-1.54557446 -1.36872505 -2.10103352]
123,0.0,-4.490584645051845,1.0,[0. 0. 0.],[0. 0. 0.]
126,0.1830291767987589,-2.443260229975772,-2.443260229975772,[0. 0. 0.],[0. 0. 0.]
129,0.1485003891725514,-1.9692123730223339,-1.9692123730223339,[0. 0. 0.],[0. 0. 0.]
131,0.0,-2.108191204214061,1.0,[0. 0. 0.],[0. 0. 0.]
133,0.0,-2.2064976246155386,1.0,[0. 0. 0.],[0. 0. 0.]
134,0.0,-4.038227725920998,1.0,[0. 0. 0.],[0. 0. 0.]
135,0.0,-2.086445204198966,1.0,[0. 0. 0.],[0. 0. 0.]
136,0.046422704250718295,-4.305066342097774,-4.305066342097774,[0. 0. 0.],[0. 0. 0.]
140,0.15359015981422144,-1.788997536106144,-1.788997536106144,[0. 0. 0.],[0. 0. 0.]
142,0.04376520741522052,-4.354989809938681,-4.354989809938681,[0. 0. 0.],[0. 0. 0.]
143,0.18128088569209322,-1.6717389798703925,-1.6717389798703925,[0. 0. 0.],[0. 0. 0.]
487,0.0,-6.5490909031394935,1.0,[-1.40689421 -1.23408108  0.        ],[-1.40689421 -1.23408108  0.        ]
145,0.0,-1.9489452757407815,1.0,[0. 0. 0.],[0. 0. 0.]
146,0.0,-3.7209240624599556,1.0,[0. 0. 0.],[0. 0. 0.]
492,0.0,-3.763915914157981,1.0,[-0.73593039 -0.46367234  0.        ],[-0.73593039 -0.46367234  0.        ]
540,0.0,-3.8975837487718374,1.0,[-1.59173644 -1.59852554  0.        ],[-1.59173644 -1.59852554  0.        ]
