pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
0,0.2926987231664525,-1.6969924002288461,-1.6969924002288461,[0. 0. 0.],[0. 0. 0.]
2,0.27112346113963987,-1.97210880499452,-1.97210880499452,[0. 0. 0.],[0. 0. 0.]
59,0.0,-5.108728817837067,1.0,[ 0.26187894 -0.11558339  0.39433848],[ 0.26187894 -0.11558339  0.39433848]
5,0.0,-1.6405431602025882,1.0,[0. 0. 0.],[0. 0. 0.]
6,0.0,-1.8585013250777256,1.0,[0. 0. 0.],[0. 0. 0.]
8,0.0,-3.713822128927325,1.0,[0. 0. 0.],[0. 0. 0.]
12,0.0,-1.9287388142134216,1.0,[0. 0. 0.],[0. 0. 0.]
13,0.2190734119575137,-2.2145757810774667,-2.2145757810774667,[0. 0. 0.],[0. 0. 0.]
17,0.0,-1.8461439555289358,1.0,[0. 0. 0.],[0. 0. 0.]
20,0.0,-1.811985113532768,1.0,[0. 0. 0.],[0. 0. 0.]
21,0.0,-2.0101551513112708,1.0,[0. 0. 0.],[0. 0. 0.]
22,0.0,-1.8666061934847509,1.0,[0. 0. 0.],[0. 0. 0.]
23,0.10705078507671217,-4.04355614235485,-4.04355614235485,[0. 0. 0.],[0. 0. 0.]
162,0.09106283294719907,-4.996431955696836,-6.604353459439531,[0.39926142 0.25448368 0.23232106],[0.39926142 0.25448368 0.23232106]
27,0.12629514738057188,-2.1038703679858815,-2.1038703679858815,[0. 0. 0.],[0. 0. 0.]
29,0.2102156602143137,-1.8685081016892648,-1.8685081016892648,[0. 0. 0.],[0. 0. 0.]
30,0.21339430892087197,-1.850706277535864,-1.850706277535864,[0. 0. 0.],[0. 0. 0.]
35,0.00075328142393727,-3.476898917253016,-3.476898917253016,[0. 0. 0.],[0. 0. 0.]
37,0.2217892970592753,-1.8022052633850414,-1.8022052633850414,[0. 0. 0.],[0. 0. 0.]
38,0.1731357262739803,-1.7186791048903816,-1.7186791048903816,[0. 0. 0.],[0. 0. 0.]
40,0.2252332647791017,-1.7840319921942875,-1.7840319921942875,[0. 0. 0.],[0. 0. 0.]
130,0.0,-2.897545432998461,1.0,[-0.1156041  -0.77240125  0.20440028],[-0.1156041  -0.77240125  0.20440028]
295,0.025190575694087013,-4.005379680321493,-4.1065328300768,[-0.10767611 -0.77292129  0.19413817],[-0.10767611 -0.77292129  0.19413817]
399,0.0,-3.0479399161902605,1.0,[ 0.31178915 -0.79802418  0.23209428],[ 0.31178915 -0.79802418  0.23209428]
47,0.03724874997568211,-4.5178217345637215,-4.5178217345637215,[0. 0. 0.],[0. 0. 0.]
50,0.276332060174922,-1.9434284887962165,-1.9434284887962165,[0. 0. 0.],[0. 0. 0.]
51,0.0,-5.045897895952907,1.0,[0. 0. 0.],[0. 0. 0.]
56,0.0,-3.520436150472616,1.0,[0. 0. 0.],[0. 0. 0.]
216,0.0,-5.046442169396471,1.0,[ 0.23956522 -0.10014858  0.35981313],[ 0.23956522 -0.10014858  0.35981313]
302,0.09721496961571163,-4.925778505734213,-6.532469091177729,[0.39867641 0.36110644 0.2592276 ],[0.39867641 0.36110644 0.2592276 ]
62,0.2705821387472493,-1.8131621655827532,-1.8131621655827532,[0. 0. 0.],[0. 0. 0.]
67,0.23303800469467054,-1.9562952787350576,-1.9562952787350576,[0. 0. 0.],[0. 0. 0.]
310,0.03819394735612064,-5.270742810771274,-6.337018507623744,[0.19012457 0.19876439 0.39762341],[0.19012457 0.19876439 0.39762341]
71,0.0,-1.8732431753364018,1.0,[0. 0. 0.],[0. 0. 0.]
314,0.0,-2.8286289539989227,1.0,[0.02326039 0.32698012 0.33092352],[0.02326039 0.32698012 0.33092352]
73,0.18345562387489572,-2.4234091160952254,-2.4234091160952254,[0. 0. 0.],[0. 0. 0.]
74,0.0,-1.905579557417543,1.0,[0. 0. 0.],[0. 0. 0.]
75,0.03490202946861304,-4.732660280967994,-4.732660280967994,[0. 0. 0.],[0. 0. 0.]
449,0.031828600769491254,-5.00967324050582,-6.033394922914223,[ 0.17352097 -0.79217548  0.21452418],[ 0.17352097 -0.79217548  0.21452418]
78,0.009460318916913025,-3.2577253195940616,-3.2577253195940616,[0. 0. 0.],[0. 0. 0.]
81,0.0,-4.422768665555836,1.0,[0. 0. 0.],[0. 0. 0.]
542,0.0,-2.236809594318218,1.0,[-0.11698175  0.          0.39883137],[-0.11698175  0.          0.39883137]
84,0.21286999731801878,-1.8414819072351165,-1.8414819072351165,[0. 0. 0.],[0. 0. 0.]
86,0.2255210155801464,-1.788326833015496,-1.788326833015496,[0. 0. 0.],[0. 0. 0.]
88,0.22133011619175552,-1.8016815913980184,-1.8016815913980184,[0. 0. 0.],[0. 0. 0.]
89,0.0,-2.357081422024426,1.0,[0. 0. 0.],[0. 0. 0.]
90,0.0,-3.8295824873856916,1.0,[0. 0. 0.],[0. 0. 0.]
93,0.0,-1.9831938256412873,1.0,[0. 0. 0.],[0. 0. 0.]
94,0.2282196833032493,-1.769401662837958,-1.769401662837958,[0. 0. 0.],[0. 0. 0.]
97,0.17999346565394203,-1.6685294259861407,-1.6685294259861407,[0. 0. 0.],[0. 0. 0.]
99,0.0,-2.0086684045194674,1.0,[0. 0. 0.],[0. 0. 0.]
101,0.279990869130012,-1.9414750996365457,-1.9414750996365457,[0. 0. 0.],[0. 0. 0.]
106,0.0,-1.6818654353184859,1.0,[0. 0. 0.],[0. 0. 0.]
107,0.23577544791809799,-2.108514233765778,-2.108514233765778,[0. 0. 0.],[0. 0. 0.]
110,0.06337535801692379,-3.7333402777677307,-3.7333402777677307,[0. 0. 0.],[0. 0. 0.]
111,0.2603969771442467,-2.063063664838883,-2.063063664838883,[0. 0. 0.],[0. 0. 0.]
113,0.0,-1.855879365895593,1.0,[0. 0. 0.],[0. 0. 0.]
408,0.0,-2.1685603933082866,1.0,[-0.11558339  0.39433848 -0.6653387 ],[-0.11558339  0.39433848 -0.6653387 ]
115,0.0,-1.8257373245709725,1.0,[0. 0. 0.],[0. 0. 0.]
117,0.0,-1.8625277151732649,1.0,[0. 0. 0.],[0. 0. 0.]
119,0.18558652556154934,-2.3865378616766684,-2.3865378616766684,[0. 0. 0.],[0. 0. 0.]
120,0.0,-1.9097988890223814,1.0,[0. 0. 0.],[0. 0. 0.]
123,0.03259885155791496,-4.530991491941517,-4.530991491941517,[0. 0. 0.],[0. 0. 0.]
124,0.0,-1.9705075662468319,1.0,[0. 0. 0.],[0. 0. 0.]
125,0.0,-1.9092032901469238,1.0,[0. 0. 0.],[0. 0. 0.]
127,0.0,-2.0879220082670833,1.0,[0. 0. 0.],[0. 0. 0.]
134,0.21900961977283787,-1.8177845430437032,-1.8177845430437032,[0. 0. 0.],[0. 0. 0.]
139,0.0,-2.647620540951008,1.0,[0. 0. 0.],[0. 0. 0.]
143,0.0,-2.1642467895097264,1.0,[0. 0. 0.],[0. 0. 0.]
146,0.2248736866837362,-1.7810819620151273,-1.7810819620151273,[0. 0. 0.],[0. 0. 0.]
794,0.14778163487768306,-2.742730273356627,-3.7750779857891574,[ 0.17689611  0.         -0.09381882],[ 0.17689611  0.         -0.09381882]
149,0.03837500119714491,-3.9286188598778944,-3.9286188598778944,[0. 0. 0.],[0. 0. 0.]
150,0.27578824202817304,-1.7652984178774054,-1.7652984178774054,[0. 0. 0.],[0. 0. 0.]
151,0.0,-1.6866163832677754,1.0,[0. 0. 0.],[0. 0. 0.]
152,0.0,-1.7327132755276573,1.0,[0. 0. 0.],[0. 0. 0.]
154,0.0,-3.8000535081147815,1.0,[0. 0. 0.],[0. 0. 0.]
157,0.07568032042268118,-4.357138098655227,-4.357138098655227,[0. 0. 0.],[0. 0. 0.]
160,0.0,-1.7662072399599613,1.0,[0. 0. 0.],[0. 0. 0.]
161,0.0,-2.0392856298207436,1.0,[0. 0. 0.],[0. 0. 0.]
165,0.0,-1.9217198141626812,1.0,[0. 0. 0.],[0. 0. 0.]
166,0.08737968083211031,-3.80123210408836,-3.80123210408836,[0. 0. 0.],[0. 0. 0.]
605,0.10042021212272063,-4.974933054111203,-6.580727021482556,[ 0.39825541  0.30032272 -0.79999979],[ 0.39825541  0.30032272 -0.79999979]
169,0.0,-5.489541334117902,1.0,[0. 0. 0.],[0. 0. 0.]
170,0.0,-3.743906847170603,1.0,[0. 0. 0.],[0. 0. 0.]
172,0.0,-4.87283190361463,1.0,[0. 0. 0.],[0. 0. 0.]
173,0.2371744583318816,-2.022690274709604,-2.022690274709604,[0. 0. 0.],[0. 0. 0.]
651,0.04476977395542016,-4.42739392893043,-4.719269110147517,[-0.10014858  0.35981313 -0.79892812],[-0.10014858  0.35981313 -0.79892812]
177,0.05039028797773443,-4.285937297526339,-4.285937297526339,[0. 0. 0.],[0. 0. 0.]
178,0.13371916018235142,-2.0670202396373982,-2.0670202396373982,[0. 0. 0.],[0. 0. 0.]
182,0.0,-2.882425652299428,1.0,[0. 0. 0.],[0. 0. 0.]
844,0.0,-2.436500981190651,1.0,[-0.07149727  0.          0.39955923],[-0.07149727  0.          0.39955923]
185,0.0,-2.470681732086349,1.0,[0. 0. 0.],[0. 0. 0.]
188,0.0,-3.7490156953256353,1.0,[0. 0. 0.],[0. 0. 0.]
192,0.22697207091563212,-1.7746083566817024,-1.7746083566817024,[0. 0. 0.],[0. 0. 0.]
193,0.0,-4.0163868154309705,1.0,[0. 0. 0.],[0. 0. 0.]
195,0.22544042915005325,-1.778862853965481,-1.778862853965481,[0. 0. 0.],[0. 0. 0.]
196,0.16346837850905593,-1.743421414829155,-1.743421414829155,[0. 0. 0.],[0. 0. 0.]
197,0.0,-2.4260542526191653,1.0,[0. 0. 0.],[0. 0. 0.]
198,0.22603281592902608,-1.7760061412960073,-1.7760061412960073,[0. 0. 0.],[0. 0. 0.]
203,0.2923088361170343,-1.7348639961888246,-1.7348639961888246,[0. 0. 0.],[0. 0. 0.]
204,0.0,-1.9877273801331479,1.0,[0. 0. 0.],[0. 0. 0.]
205,0.0,-5.733168386589119,1.0,[0. 0. 0.],[0. 0. 0.]
208,0.0,-1.9211330354316964,1.0,[0. 0. 0.],[0. 0. 0.]
209,0.06675287157590667,-4.425818708808058,-4.425818708808058,[0. 0. 0.],[0. 0. 0.]
211,0.0514741633276843,-4.142573790164376,-4.142573790164376,[0. 0. 0.],[0. 0. 0.]
213,0.0,-1.9706157052206874,1.0,[0. 0. 0.],[0. 0. 0.]
214,0.019406862496070137,-5.144028776794057,-5.144028776794057,[0. 0. 0.],[0. 0. 0.]
215,0.030855600589914954,-4.0596895903800405,-4.0596895903800405,[0. 0. 0.],[0. 0. 0.]
217,0.0,-1.793349296008026,1.0,[0. 0. 0.],[0. 0. 0.]
219,0.0,-4.064192929205254,1.0,[0. 0. 0.],[0. 0. 0.]
807,0.04105557474645299,-5.1836366172289665,-6.272175993664039,[ 0.19876439  0.39762341 -0.559992  ],[ 0.19876439  0.39762341 -0.559992  ]
224,0.2236658214284518,-2.08745057734686,-2.08745057734686,[0. 0. 0.],[0. 0. 0.]
226,0.26273076314087884,-1.9886046505354886,-1.9886046505354886,[0. 0. 0.],[0. 0. 0.]
