pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
3,0.04061569598348457,-4.375143970982543,-4.375143970982543,[0. 0. 0.],[0. 0. 0.]
6,0.0,-1.8685460510164462,1.0,[0. 0. 0.],[0. 0. 0.]
14,0.0,-1.7504187058526093,1.0,[0. 0. 0.],[0. 0. 0.]
15,0.2231741806005321,-2.2147492937698194,-2.2147492937698194,[0. 0. 0.],[0. 0. 0.]
123,0.0,-5.654986088934746,1.0,[ 0.95132625  0.         -0.02370644],[ 0.95132625  0.         -0.02370644]
19,0.036130641363248006,-4.696044632088472,-4.696044632088472,[0. 0. 0.],[0. 0. 0.]
21,0.09032064917064674,-3.776538029702264,-3.776538029702264,[0. 0. 0.],[0. 0. 0.]
24,0.24289937550572888,-2.0063929333096358,-2.0063929333096358,[0. 0. 0.],[0. 0. 0.]
28,0.0,-3.682451115632152,1.0,[0. 0. 0.],[0. 0. 0.]
32,0.21752951601003379,-1.8293861076599878,-1.8293861076599878,[0. 0. 0.],[0. 0. 0.]
34,0.2173261132025904,-1.8258929847428755,-1.8258929847428755,[0. 0. 0.],[0. 0. 0.]
36,0.0,-4.062594330894197,1.0,[0. 0. 0.],[0. 0. 0.]
37,0.0,-4.535644859116987,1.0,[0. 0. 0.],[0. 0. 0.]
39,0.16391325768246787,-1.7378953413646867,-1.7378953413646867,[0. 0. 0.],[0. 0. 0.]
40,0.018886227356117603,-4.652443489228112,-4.652443489228112,[0. 0. 0.],[0. 0. 0.]
130,0.022324259927726704,-5.274131734376258,-6.348558164419928,[0.82693346 0.         0.        ],[0.82693346 0.         0.        ]
43,0.0,-2.0029305187634145,1.0,[0. 0. 0.],[0. 0. 0.]
44,0.2288375206588183,-1.767405293356631,-1.767405293356631,[0. 0. 0.],[0. 0. 0.]
138,0.03226677160613902,-4.732636246429632,-5.89257259613469,[0.89995978 0.         0.        ],[0.89995978 0.         0.        ]
47,0.0,-2.754057931770156,1.0,[0. 0. 0.],[0. 0. 0.]
48,0.0,-4.059627978534479,1.0,[0. 0. 0.],[0. 0. 0.]
49,0.0,-2.8837137120635217,1.0,[0. 0. 0.],[0. 0. 0.]
51,0.25063601891056025,-2.0252196023569087,-2.0252196023569087,[0. 0. 0.],[0. 0. 0.]
52,0.0,-1.8877742460032647,1.0,[0. 0. 0.],[0. 0. 0.]
255,0.0,-2.7713421964549174,1.0,[0.11810896 0.         0.59994052],[0.11810896 0.         0.59994052]
307,0.0,-5.509790257455441,1.0,[ 0.9485849   0.         -0.56749275],[ 0.9485849   0.         -0.56749275]
59,0.0,-1.6801543295715564,1.0,[0. 0. 0.],[0. 0. 0.]
358,0.04741568288326484,-6.047200638969368,-7.172811512298471,[ 0.87049463  0.         -0.6801106 ],[ 0.87049463  0.         -0.6801106 ]
61,0.0,-1.7039214994779972,1.0,[0. 0. 0.],[0. 0. 0.]
64,0.0,-4.7326490170309885,1.0,[0. 0. 0.],[0. 0. 0.]
66,0.0,-4.096147537796187,1.0,[0. 0. 0.],[0. 0. 0.]
67,0.25410186100132753,-1.8987425240651943,-1.8987425240651943,[0. 0. 0.],[0. 0. 0.]
68,0.2384179952089202,-1.9506550126829563,-1.9506550126829563,[0. 0. 0.],[0. 0. 0.]
71,0.0,-1.8478684552061262,1.0,[0. 0. 0.],[0. 0. 0.]
72,0.0,-1.9995998520982794,1.0,[0. 0. 0.],[0. 0. 0.]
76,0.0,-1.9458809473712941,1.0,[0. 0. 0.],[0. 0. 0.]
77,0.0,-4.181475979784277,1.0,[0. 0. 0.],[0. 0. 0.]
79,0.0,-3.785867214661038,1.0,[0. 0. 0.],[0. 0. 0.]
81,0.20375909952038027,-1.8883561982025205,-1.8883561982025205,[0. 0. 0.],[0. 0. 0.]
82,0.0,-1.9842836846064746,1.0,[0. 0. 0.],[0. 0. 0.]
84,0.0,-6.678199247314023,1.0,[0. 0. 0.],[0. 0. 0.]
85,0.21418198596034485,-1.8346302129546073,-1.8346302129546073,[0. 0. 0.],[0. 0. 0.]
86,0.21713821944574865,-1.820975811857975,-1.820975811857975,[0. 0. 0.],[0. 0. 0.]
88,0.16968505285942753,-1.7365348402819363,-1.7365348402819363,[0. 0. 0.],[0. 0. 0.]
90,0.1803444351202851,-1.6824006825034772,-1.6824006825034772,[0. 0. 0.],[0. 0. 0.]
92,0.0,-3.858944810246128,1.0,[0. 0. 0.],[0. 0. 0.]
390,0.15295918049669793,-1.8134253184832174,-1.8486967886816315,[-0.05034755  0.82693346  0.        ],[-0.05034755  0.82693346  0.        ]
480,0.03989454312478214,-5.820375324567591,-7.000426958594254,[0.91747294 0.89995978 0.        ],[0.91747294 0.89995978 0.        ]
96,0.0,-3.741163133885335,1.0,[0. 0. 0.],[0. 0. 0.]
485,0.15513262773882888,-2.010947326599155,-2.072222021427948,[-0.0511793   0.21505127  0.8092995 ],[-0.0511793   0.21505127  0.8092995 ]
100,0.27871776793136527,-1.9330541565208248,-1.9330541565208248,[0. 0. 0.],[0. 0. 0.]
