pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
20,0.10102425105767833,-4.79277806962021,-6.038466879085139,[0.22967626 0.25754698 0.31487719],[0.22967626 0.25754698 0.31487719]
4,0.0,-1.8607121646199716,1.0,[0. 0. 0.],[0. 0. 0.]
5,0.07297554225670223,-3.7592755407161293,-3.7592755407161293,[0. 0. 0.],[0. 0. 0.]
121,0.0,-4.943896823044193,1.0,[0.31994691 0.25292701 0.3206532 ],[0.31994691 0.25292701 0.3206532 ]
10,0.0,-1.9391385015430687,1.0,[0. 0. 0.],[0. 0. 0.]
13,0.074484522983692,-4.388061908007123,-4.388061908007123,[0. 0. 0.],[0. 0. 0.]
17,0.21682087322686075,-2.25065330293893,-2.25065330293893,[0. 0. 0.],[0. 0. 0.]
150,0.05067421969823765,-4.6333719454636215,-5.612592424776609,[0.18148067 0.18559347 0.3285861 ],[0.18148067 0.18559347 0.3285861 ]
19,0.015137352032584005,-3.533552672288021,-3.533552672288021,[0. 0. 0.],[0. 0. 0.]
21,0.0,-4.156021587769141,1.0,[0. 0. 0.],[0. 0. 0.]
22,0.21945776897404723,-2.2689974392090013,-2.2689974392090013,[0. 0. 0.],[0. 0. 0.]
23,0.22731533716298077,-2.037576117645075,-2.037576117645075,[0. 0. 0.],[0. 0. 0.]
24,0.2528288066764297,-1.973028766323766,-1.973028766323766,[0. 0. 0.],[0. 0. 0.]
32,0.0,-1.943078790126007,1.0,[0. 0. 0.],[0. 0. 0.]
35,0.0,-4.091144153505801,1.0,[0. 0. 0.],[0. 0. 0.]
36,0.0,-3.0613000024845447,1.0,[0. 0. 0.],[0. 0. 0.]
38,0.0,-2.449838370327141,1.0,[0. 0. 0.],[0. 0. 0.]
42,0.22829330702449507,-1.7702398809925552,-1.7702398809925552,[0. 0. 0.],[0. 0. 0.]
44,0.0,-2.1593850986494654,1.0,[0. 0. 0.],[0. 0. 0.]
45,0.0,-2.319331375743531,1.0,[0. 0. 0.],[0. 0. 0.]
47,0.0,-1.9675640754297496,1.0,[0. 0. 0.],[0. 0. 0.]
50,0.0,-2.0016831918615816,1.0,[0. 0. 0.],[0. 0. 0.]
51,0.0,-1.6659525191286153,1.0,[0. 0. 0.],[0. 0. 0.]
53,0.0,-1.8701977699927466,1.0,[0. 0. 0.],[0. 0. 0.]
355,0.30274242324202316,-2.792263543002141,-4.186939168763087,[0.25292701 0.3206532  0.0075034 ],[0.25292701 0.3206532  0.0075034 ]
59,0.0,-1.8420364752552598,1.0,[0. 0. 0.],[0. 0. 0.]
60,0.0,-1.6965930743614297,1.0,[0. 0. 0.],[0. 0. 0.]
61,0.04684983556648957,-4.4393967668189,-4.4393967668189,[0. 0. 0.],[0. 0. 0.]
66,0.0,-4.614339324414916,1.0,[0. 0. 0.],[0. 0. 0.]
68,0.0,-1.950607437078449,1.0,[0. 0. 0.],[0. 0. 0.]
70,0.0,-1.8628195234785023,1.0,[0. 0. 0.],[0. 0. 0.]
73,0.0007647978669293362,-4.038277210885205,-4.038277210885205,[0. 0. 0.],[0. 0. 0.]
75,0.0,-5.057085299040963,1.0,[0. 0. 0.],[0. 0. 0.]
77,0.0,-2.665712163447571,1.0,[0. 0. 0.],[0. 0. 0.]
78,0.0,-3.960111110960275,1.0,[0. 0. 0.],[0. 0. 0.]
82,0.05360214191911862,-3.640261231723283,-3.640261231723283,[0. 0. 0.],[0. 0. 0.]
340,0.1576331517567778,-1.9722039896427184,-1.9802297499931376,[-0.07400242  0.32799412  0.30507314],[-0.07400242  0.32799412  0.30507314]
89,0.0,-2.0573142675587395,1.0,[0. 0. 0.],[0. 0. 0.]
90,0.0,-2.610964931274315,1.0,[0. 0. 0.],[0. 0. 0.]
91,0.22427403713568453,-1.7866910661234727,-1.7866910661234727,[0. 0. 0.],[0. 0. 0.]
94,0.0,-2.705665768382237,1.0,[0. 0. 0.],[0. 0. 0.]
96,0.0,-3.2586081192284206,1.0,[0. 0. 0.],[0. 0. 0.]
97,0.22573568983067163,-1.778031352365899,-1.778031352365899,[0. 0. 0.],[0. 0. 0.]
345,0.0,-4.871391909024949,1.0,[0.30625094 0.31773826 0.28320149],[0.30625094 0.31773826 0.28320149]
386,0.0,-2.846250671753455,1.0,[ 0.12191172 -0.00792429  0.08638636],[ 0.12191172 -0.00792429  0.08638636]
101,0.0,-3.7049890206315377,1.0,[0. 0. 0.],[0. 0. 0.]
411,0.0,-4.658633611876731,1.0,[0.32941173 0.22005609 0.32877718],[0.32941173 0.22005609 0.32877718]
107,0.22846161707682602,-2.1323608633018862,-2.1323608633018862,[0. 0. 0.],[0. 0. 0.]
109,0.0,-1.7813602170063123,1.0,[0. 0. 0.],[0. 0. 0.]
110,0.03737890279234778,-4.661014445995011,-4.661014445995011,[0. 0. 0.],[0. 0. 0.]
111,0.2609872296723606,-2.0640566257450703,-2.0640566257450703,[0. 0. 0.],[0. 0. 0.]
112,0.0,-4.829307301235947,1.0,[0. 0. 0.],[0. 0. 0.]
116,0.0,-1.8747591915941657,1.0,[0. 0. 0.],[0. 0. 0.]
118,0.0,-1.819821309826025,1.0,[0. 0. 0.],[0. 0. 0.]
119,0.21952034644910712,-2.249221122426264,-2.249221122426264,[0. 0. 0.],[0. 0. 0.]
120,0.0,-1.848722946477041,1.0,[0. 0. 0.],[0. 0. 0.]
124,0.23618522147163845,-2.0333846105188282,-2.0333846105188282,[0. 0. 0.],[0. 0. 0.]
127,0.0,-2.2616984547848715,1.0,[0. 0. 0.],[0. 0. 0.]
130,0.03851065165719294,-3.8699713136945277,-3.8699713136945277,[0. 0. 0.],[0. 0. 0.]
131,0.0,-3.8560950075324976,1.0,[0. 0. 0.],[0. 0. 0.]
132,0.0,-1.989076451420369,1.0,[0. 0. 0.],[0. 0. 0.]
