pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
0,0.0734260235988408,-4.411950491672408,-4.411950491672408,[0. 0. 0.],[0. 0. 0.]
3,0.0,-1.6437606365319288,1.0,[0. 0. 0.],[0. 0. 0.]
4,0.0,-1.639838016496157,1.0,[0. 0. 0.],[0. 0. 0.]
5,0.0,-1.659038476834567,1.0,[0. 0. 0.],[0. 0. 0.]
6,0.0,-1.8389436482802126,1.0,[0. 0. 0.],[0. 0. 0.]
13,0.0,-2.035673756379147,1.0,[0. 0. 0.],[0. 0. 0.]
151,0.0,-2.710346918182699,1.0,[ 0.12344263 -0.06923064  0.        ],[ 0.12344263 -0.06923064  0.        ]
15,0.0,-1.8217847133545975,1.0,[0. 0. 0.],[0. 0. 0.]
17,0.0,-1.887084867215091,1.0,[0. 0. 0.],[0. 0. 0.]
18,0.2805276229225003,-1.8283445269657665,-1.8283445269657665,[0. 0. 0.],[0. 0. 0.]
23,0.0,-1.9330337383614684,1.0,[0. 0. 0.],[0. 0. 0.]
26,0.0,-4.046300394514153,1.0,[0. 0. 0.],[0. 0. 0.]
27,0.19515399410615628,-1.9391224694313358,-1.9391224694313358,[0. 0. 0.],[0. 0. 0.]
32,0.0,-3.173163227997422,1.0,[ 0.26323977  0.22976378 -0.2772553 ],[ 0.26323977  0.22976378 -0.2772553 ]
47,0.02409800436078489,-4.623334014132675,-6.618424171350614,[ 0.32941039  0.31269221 -0.28224491],[ 0.32941039  0.31269221 -0.28224491]
39,0.0,-3.432605162858805,1.0,[0. 0. 0.],[0. 0. 0.]
41,0.22584279363502846,-1.780745232147142,-1.780745232147142,[0. 0. 0.],[0. 0. 0.]
43,0.0,-4.396703370932354,1.0,[0. 0. 0.],[0. 0. 0.]
45,0.0,-2.373393420970916,1.0,[0. 0. 0.],[0. 0. 0.]
48,0.16794518278230527,-1.705593502067213,-1.705593502067213,[0. 0. 0.],[0. 0. 0.]
49,0.03671108393551134,-2.9947191306973924,-2.9947191306973924,[0. 0. 0.],[0. 0. 0.]
51,0.2752412879433926,-1.7411511907036692,-1.7411511907036692,[0. 0. 0.],[0. 0. 0.]
52,0.24843122305806345,-2.04149393212791,-2.04149393212791,[0. 0. 0.],[0. 0. 0.]
217,0.04925629120845558,-4.785007887339717,-6.732091418982098,[ 0.3235573   0.12344263 -0.06923064],[ 0.3235573   0.12344263 -0.06923064]
59,0.0,-1.9185573749861429,1.0,[0. 0. 0.],[0. 0. 0.]
60,0.0,-1.699244717391799,1.0,[0. 0. 0.],[0. 0. 0.]
