pixel_index,color,log_p_z,log_p_z_ref,joint_score_p,joint_score_ref_p,joint_score_nr,joint_score_ref_nr,joint_score_ni,joint_score_ref_ni
2,0.0,-2.0155231783712635,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.09367858328327379,-4.158727731065949,-4.158727731065949,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,-2.1246563558097704,1.0,1.2301302948983264,2.1830783443245947,0.04772024448799539,0.2362243535357944,0.0,0.0
54,0.0,-6.645900001372167,1.0,0.3463921544945053,0.7837647494836902,1.493074571716205,2.6506953917618645,0.719087101509935,1.359754585812115
13,0.0,-1.912792488607111,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.20701039512905156,-2.267530578159962,-2.267530578159962,0.0,0.0,0.0,0.0,0.0,0.0
15,0.23647886127942128,-2.16523678532134,-2.16523678532134,0.0,0.0,0.0,0.0,0.0,0.0
16,0.2260067990247288,-2.0717599024077225,-2.0717599024077225,0.0,0.0,0.0,0.0,0.0,0.0
17,0.23939868430324435,-2.1626758301756794,-2.1626758301756794,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,-4.083259013501082,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-2.061792105218239,1.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,-5.716308093310658,1.0,0.0,0.0,1.366732994471776,2.4216049510876183,1.7506434589249116,3.1359365967503963
23,0.1934352806467585,-2.2182249254376356,-2.2182249254376356,0.0,0.0,0.0,0.0,0.0,0.0
24,0.20106750390008157,-2.1974429262713113,-2.1974429262713113,0.0,0.0,0.0,0.0,0.0,0.0
25,0.19891825042583025,-2.3518506733121685,-2.3518506733121685,0.0,0.0,0.0,0.0,0.0,0.0
27,0.20984353593967336,-2.3130916478830694,-2.3130916478830694,0.0,0.0,0.0,0.0,0.0,0.0
28,0.21067893965638113,-2.1903305235376216,-2.1903305235376216,0.0,0.0,0.0,0.0,0.0,0.0
30,0.18829240064650984,-2.414846575820753,-2.414846575820753,0.0,0.0,0.0,0.0,0.0,0.0
