pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
0,0.27982594466244237,-1.7286258041237477,-1.7286258041237477,[0. 0. 0.],[0. 0. 0.]
51,0.0,-3.0323186269391353,1.0,[-1.46151732  0.         -1.23138115],[-1.46151732  0.         -1.23138115]
5,0.3070832098893939,-1.673408878640214,-1.673408878640214,[0. 0. 0.],[0. 0. 0.]
7,0.0,-1.959104322106583,1.0,[0. 0. 0.],[0. 0. 0.]
10,0.0,-4.595891481808159,1.0,[0. 0. 0.],[0. 0. 0.]
12,0.2121204871585603,-2.232716973051937,-2.232716973051937,[0. 0. 0.],[0. 0. 0.]
13,0.21848544667191847,-2.216768692536432,-2.216768692536432,[0. 0. 0.],[0. 0. 0.]
14,0.2386125861653497,-2.152279139391815,-2.152279139391815,[0. 0. 0.],[0. 0. 0.]
18,0.0,-5.074986343616602,1.0,[0. 0. 0.],[0. 0. 0.]
19,0.2079929544298214,-2.2970912158011614,-2.2970912158011614,[0. 0. 0.],[0. 0. 0.]
21,0.0,-1.8688794989327775,1.0,[0. 0. 0.],[0. 0. 0.]
23,0.010604856021713004,-3.6445718917163585,-3.6445718917163585,[0. 0. 0.],[0. 0. 0.]
27,0.0,-2.887388662273275,1.0,[0. 0. 0.],[0. 0. 0.]
29,0.0,-2.11910722242403,1.0,[0. 0. 0.],[0. 0. 0.]
32,0.14644498736267922,-1.9050503169221047,-1.9050503169221047,[0. 0. 0.],[0. 0. 0.]
34,0.023913159085779605,-3.3814114770288937,-3.3814114770288937,[0. 0. 0.],[0. 0. 0.]
37,0.22277262849533325,-1.7968447047785496,-1.7968447047785496,[0. 0. 0.],[0. 0. 0.]
40,0.1675599145354234,-1.7205030246569157,-1.7205030246569157,[0. 0. 0.],[0. 0. 0.]
88,0.0,-2.022154552471748,1.0,[-0.41850852 -1.60054092 -1.61728617],[-0.41850852 -1.60054092 -1.61728617]
43,0.0,-2.778161555361606,1.0,[0. 0. 0.],[0. 0. 0.]
47,0.0,-3.7397032605472367,1.0,[0. 0. 0.],[0. 0. 0.]
48,0.22515420546936044,-1.7804870602097196,-1.7804870602097196,[0. 0. 0.],[0. 0. 0.]
