pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
0,0.0,-5.663212847414776,1.0,[0. 0. 0.],[0. 0. 0.]
1,0.28197452732406414,-1.934573548728141,-1.934573548728141,[0. 0. 0.],[0. 0. 0.]
4,0.0,-1.711223457496634,1.0,[0. 0. 0.],[0. 0. 0.]
9,0.23511961738659176,-2.133328407515473,-2.133328407515473,[0. 0. 0.],[0. 0. 0.]
153,0.0,-3.172724686169179,1.0,[-1.55042891 -0.99411795 -1.58668578],[-1.55042891 -0.99411795 -1.58668578]
11,0.0,-6.631192989594019,1.0,[0. 0. 0.],[0. 0. 0.]
13,0.2524588741655962,-2.100240079049312,-2.100240079049312,[0. 0. 0.],[0. 0. 0.]
16,0.2601509497909791,-1.8591888970773034,-1.8591888970773034,[0. 0. 0.],[0. 0. 0.]
157,0.0,-5.285401974632313,1.0,[-1.3336484  -0.69720779 -1.29409234],[-1.3336484  -0.69720779 -1.29409234]
18,0.2275440107341315,-2.2147313939873126,-2.2147313939873126,[0. 0. 0.],[0. 0. 0.]
21,0.0,-2.0325878132163155,1.0,[0. 0. 0.],[0. 0. 0.]
22,0.21301455098382996,-2.0655609127101835,-2.0655609127101835,[0. 0. 0.],[0. 0. 0.]
24,0.0,-5.52577218354698,1.0,[0. 0. 0.],[0. 0. 0.]
25,0.0,-1.8990961331278742,1.0,[0. 0. 0.],[0. 0. 0.]
26,0.21601875885557512,-2.306481536319135,-2.306481536319135,[0. 0. 0.],[0. 0. 0.]
27,0.0,-5.457255705178627,1.0,[0. 0. 0.],[0. 0. 0.]
31,0.2101823057304163,-1.8607002935391141,-1.8607002935391141,[0. 0. 0.],[0. 0. 0.]
230,0.0,-3.7407611774355773,1.0,[-1.59534343  0.          0.        ],[-1.59534343  0.          0.        ]
36,0.022090426340090438,-2.8572407309696146,-2.8572407309696146,[0. 0. 0.],[0. 0. 0.]
37,0.16594430234571733,-1.752310339045596,-1.752310339045596,[0. 0. 0.],[0. 0. 0.]
38,0.0,-2.72653856226027,1.0,[0. 0. 0.],[0. 0. 0.]
343,0.0,-5.914721752023617,1.0,[-1.57065511  0.          0.        ],[-1.57065511  0.          0.        ]
43,0.22484662527625493,-1.782836951099183,-1.782836951099183,[0. 0. 0.],[0. 0. 0.]
349,0.0,-2.9364681281006435,1.0,[-1.39089971 -1.62055721  0.        ],[-1.39089971 -1.62055721  0.        ]
46,0.0,-2.512974877238458,1.0,[0. 0. 0.],[0. 0. 0.]
47,0.18040917688017585,-1.6548899875976206,-1.6548899875976206,[0. 0. 0.],[0. 0. 0.]
381,0.02143637437381283,-6.117712320586877,-6.637328436819185,[-1.40906547 -1.46741933  0.        ],[-1.40906547 -1.46741933  0.        ]
52,0.0,-1.6675008438728571,1.0,[0. 0. 0.],[0. 0. 0.]
172,0.0,-7.523820093725493,1.0,[-0.94147936 -0.56219674 -1.07063273],[-0.94147936 -0.56219674 -1.07063273]
425,0.09869764105402283,-6.430174723438512,-6.8469256281914745,[-1.05932435 -1.33495463 -1.25575989],[-1.05932435 -1.33495463 -1.25575989]
56,0.0,-5.616796152017443,1.0,[0. 0. 0.],[0. 0. 0.]
57,0.0,-1.905045004947694,1.0,[0. 0. 0.],[0. 0. 0.]
58,0.25897059461804084,-2.0479433366755373,-2.0479433366755373,[0. 0. 0.],[0. 0. 0.]
59,0.28945319439383216,-1.740453051369258,-1.740453051369258,[0. 0. 0.],[0. 0. 0.]
60,0.08795244559948069,-4.2094867331169095,-4.2094867331169095,[0. 0. 0.],[0. 0. 0.]
62,0.2424757250406827,-2.1296290324274145,-2.1296290324274145,[0. 0. 0.],[0. 0. 0.]
64,0.0,-1.8453373349713207,1.0,[0. 0. 0.],[0. 0. 0.]
65,0.04734640040206045,-3.826696404324968,-3.826696404324968,[0. 0. 0.],[0. 0. 0.]
66,0.09188378020572048,-3.7514131129335277,-3.7514131129335277,[0. 0. 0.],[0. 0. 0.]
68,0.21266574140385922,-2.27083295853916,-2.27083295853916,[0. 0. 0.],[0. 0. 0.]
713,0.0,-2.2024945747463294,1.0,[-0.69720779 -1.29409234 -0.71636506],[-0.69720779 -1.29409234 -0.71636506]
71,0.0,-1.9596490169139944,1.0,[0. 0. 0.],[0. 0. 0.]
73,0.0,-4.169110882795374,1.0,[0. 0. 0.],[0. 0. 0.]
75,0.20009624162929324,-2.3644101381777967,-2.3644101381777967,[0. 0. 0.],[0. 0. 0.]
534,0.1414088469452582,-3.6757914739822013,-4.301549148207217,[-1.66050437 -1.55675231  0.        ],[-1.66050437 -1.55675231  0.        ]
78,0.03865809631435403,-4.527162797095173,-4.527162797095173,[0. 0. 0.],[0. 0. 0.]
