pixel_index,color,log_p_z,log_p_z_ref,joint_score_p,joint_score_ref_p,joint_score_nr,joint_score_ref_nr,joint_score_ni,joint_score_ref_ni
2,0.24201880675264392,-2.0867991504048176,-2.0867991504048176,0.0,0.0,0.0,0.0,0.0,0.0
4,0.04588938962696614,-4.691799906332577,-4.691799906332577,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-3.1656053437056575,1.0,0.0,0.0,3.7091911288610943e-16,3.3769323402818943,6.519732575224299,0.0
7,0.0,-1.9960123165046506,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.24487756752531062,-1.9872588739161359,-1.9872588739161359,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,-1.8536141621711326,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.26733589094108323,-1.930360901376017,-1.930360901376017,0.0,0.0,0.0,0.0,0.0,0.0
12,0.24469981550353995,-2.1260367605833044,-2.1260367605833044,0.0,0.0,0.0,0.0,0.0,0.0
14,0.2235796773944,-2.0690936478485944,-2.0690936478485944,0.0,0.0,0.0,0.0,0.0,0.0
16,0.08631125650752011,-3.810939765326004,-3.810939765326004,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,-1.6635141684447787,1.0,0.0,0.0,1.5907504943273566e-16,0.46267998059643395,2.175611074992707,0.0
20,0.0,-1.9691945596723124,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.08159473112304187,-3.9679171543349563,-3.9679171543349563,0.0,0.0,0.0,0.0,0.0,0.0
25,0.040303050139281614,-3.9032148101767916,-7.045743036297074,0.0,0.0,-1.149137810147454e-15,3.0617955637416814,2.368778461839951,0.0
30,0.0,-3.288848675232681,1.0,0.0,0.0,-4.713823025247388e-16,5.185159536340077,148.49792895452998,0.0
31,0.21313023798798003,-2.1936993100922115,-2.1936993100922115,0.0,0.0,0.0,0.0,0.0,0.0
32,0.1923441921499482,-2.2787230886844205,-2.2787230886844205,0.0,0.0,0.0,0.0,0.0,0.0
35,0.037324726496378455,-4.593101450887863,-4.593101450887863,0.0,0.0,0.0,0.0,0.0,0.0
36,0.03411714857551049,-3.937814756755007,-3.937814756755007,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,-3.569155221292673,1.0,0.0,0.0,-9.809520249172383e-17,0.5028219932574384,5.117251154397325,0.0
38,0.01973535284704622,-5.112679507984155,-5.112679507984155,0.0,0.0,0.0,0.0,0.0,0.0
41,0.21811488604361765,-1.8290476347214082,-1.8290476347214082,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0348625437115252,-3.8130683214020706,-6.966096562500036,0.0,0.0,1.3037749320157814e-15,3.0812557035433144,3.605611477544603,0.0
46,0.0,-4.006424030830033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.22128673908934027,-1.8033230685656354,-1.8033230685656354,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,-1.9728411194259867,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,-4.806812501704762,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.26414524624374475,-2.0252549666616644,-2.0252549666616644,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,-4.463436753379819,1.0,0.0,0.0,-7.595551870139014e-16,2.777821046890177,2.3149630543554074,0.0
55,0.0,-3.2334894093986906,1.0,0.0,0.0,-2.385229243347406e-16,1.9410684022083462,1.2469598652983334,0.0
56,0.0,-4.219832489417339,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.24188825090374644,-2.00439349344761,-2.00439349344761,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,-1.9700313434761778,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0798800957864113,-4.115959690125942,-4.115959690125942,0.0,0.0,0.0,0.0,0.0,0.0
71,0.023898602512945906,-5.113762823860185,-5.113762823860185,0.0,0.0,0.0,0.0,0.0,0.0
75,0.21386900805526374,-2.291517057900459,-2.291517057900459,0.0,0.0,0.0,0.0,0.0,0.0
82,0.039361431607697915,-3.7629952949451484,-3.7629952949451484,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,-4.814103454392848,1.0,0.0,0.0,-1.0810612790533334e-15,3.160812377165185,6.036308499019245,0.0
88,0.1241708772078828,-2.166500038625196,-2.166500038625196,0.0,0.0,0.0,0.0,0.0,0.0
95,0.031655952345050864,-4.592045999076285,-4.592045999076285,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,-4.362548751087637,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,-4.3025253354679265,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,-1.876318144702808,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,-6.164550664111857,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,-1.9318620049189479,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.01741321982263441,-3.3008034957857357,-3.3008034957857357,0.0,0.0,0.0,0.0,0.0,0.0
109,0.2398428281323009,-2.12938114017099,-2.12938114017099,0.0,0.0,0.0,0.0,0.0,0.0
110,0.2488977070614962,-2.1021621898924088,-2.1021621898924088,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,-4.197210041239902,1.0,0.0,0.0,6.091366863592156e-16,3.105703343234038,4.962825306933253,0.0
115,0.0,-2.1577650768865713,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,-4.2881074631738825,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,-1.8904402928417394,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,-3.9139626471525637,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.21965512529771894,-2.133726561783151,-2.133726561783151,0.0,0.0,0.0,0.0,0.0,0.0
122,0.19828168467742469,-2.341037864506592,-2.341037864506592,0.0,0.0,0.0,0.0,0.0,0.0
123,0.02509768719166331,-4.813785441268831,-4.813785441268831,0.0,0.0,0.0,0.0,0.0,0.0
124,0.2126101123988637,-2.2950193243653727,-2.2950193243653727,0.0,0.0,0.0,0.0,0.0,0.0
161,0.05607245707373922,-3.3697941271378173,-6.438235079668582,0.0,0.0,-1.2138975636377016e-15,2.924152468141687,3.6958248845791966,0.0
128,0.0,-1.8400026233812623,1.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.20770248287330442,-2.334294549687489,-2.334294549687489,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,-4.522178226796842,1.0,0.0,0.0,1.4089541204195214e-15,0.32138660059679514,0.27986699178493724,0.0
134,0.13684696213503156,-2.1397159774998458,-2.1397159774998458,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,-5.433956246092708,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.141105048974639,-2.082752387700479,-2.082752387700479,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,-2.487306976988827,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.2451315519786162,-2.0749330761302223,-2.0749330761302223,0.0,0.0,0.0,0.0,0.0,0.0
154,0.23118527765265356,-2.032042801564664,-2.032042801564664,0.0,0.0,0.0,0.0,0.0,0.0
155,0.22549660024112445,-2.0540667998110105,-2.0540667998110105,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,-1.9049734847713025,1.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.2451196842160699,-2.1079413404660476,-2.1079413404660476,0.0,0.0,0.0,0.0,0.0,0.0
159,0.19835164937062397,-2.15515557686672,-2.15515557686672,0.0,0.0,0.0,0.0,0.0,0.0
160,0.08129087243571595,-3.932800501118272,-7.134932299559367,0.0,0.0,5.425233097373134e-16,3.170889952606419,7.207531104086308,0.0
162,0.25580699818375324,-1.987277754584258,-1.987277754584258,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,-4.131240113776833,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.19963907365411077,-2.177299124931562,-2.177299124931562,0.0,0.0,0.0,0.0,0.0,0.0
167,0.23571500051311958,-2.180197296755884,-2.180197296755884,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,-1.8770171105522606,1.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.20643517515545437,-2.297308375249745,-2.297308375249745,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,-3.5073068901448607,1.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.19255336724279926,-2.2321031966962153,-2.2321031966962153,0.0,0.0,0.0,0.0,0.0,0.0
176,0.18152116092241521,-2.4289872188750743,-2.4289872188750743,0.0,0.0,0.0,0.0,0.0,0.0
232,0.0,-1.6976641547507092,1.0,0.0,0.0,-3.4155385434947507e-16,0.4512108263088727,4.256997614699254,0.0
181,0.0,-4.245278561434503,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,0.19524022190457885,-2.282309424614744,-2.282309424614744,0.0,0.0,0.0,0.0,0.0,0.0
183,0.0,-2.056559279343399,1.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0.13847157325786016,-2.1367280325225746,-2.1367280325225746,0.0,0.0,0.0,0.0,0.0,0.0
187,0.2048705447219628,-1.8940723129716595,-1.8940723129716595,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,-2.114525920768605,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0.20413225450490294,-1.8910758438009367,-1.8910758438009367,0.0,0.0,0.0,0.0,0.0,0.0
191,0.0,-1.8487548892484622,1.0,0.0,0.0,-7.948980596208881e-16,1.4760854399404257,0.9553903234149139,0.0
