pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
0,0.0,-1.8831641425912802,1.0,[0. 0. 0.],[0. 0. 0.]
1,0.09237920884949793,-5.190641676206628,-6.800048178191042,[ 3.99984245e-01 -9.04766709e-05 -1.16237818e-01],[ 3.99984245e-01 -9.04766709e-05 -1.16237818e-01]
2,0.0,-1.6234495933253943,1.0,[0. 0. 0.],[0. 0. 0.]
5,0.039856812216344885,-4.096023506605425,-4.096023506605425,[0. 0. 0.],[0. 0. 0.]
7,0.24918001977519438,-2.0709044978160733,-2.0709044978160733,[0. 0. 0.],[0. 0. 0.]
9,0.22784397090542238,-2.1529785338010763,-2.1529785338010763,[0. 0. 0.],[0. 0. 0.]
23,0.0,-2.757871027062504,1.0,[-0.05375857  0.16162857  0.13366236],[-0.05375857  0.16162857  0.13366236]
12,0.0,-1.7114551802854572,1.0,[0. 0. 0.],[0. 0. 0.]
18,0.0,-1.7620902814197577,1.0,[0. 0. 0.],[0. 0. 0.]
19,0.0,-1.8530641070508718,1.0,[0. 0. 0.],[0. 0. 0.]
106,0.0,-5.346148413926899,1.0,[0.35382288 0.32689251 0.39264569],[0.35382288 0.32689251 0.39264569]
24,0.0940098617155323,-4.113109795283275,-4.113109795283275,[0. 0. 0.],[0. 0. 0.]
27,0.19399376670216167,-1.9461457506980575,-1.9461457506980575,[0. 0. 0.],[0. 0. 0.]
29,0.034432865714981796,-5.620904871557587,-7.168003201475205,[ 0.37345252 -0.0965195  -0.79963722],[ 0.37345252 -0.0965195  -0.79963722]
32,0.13019948578144355,-1.9745881866866895,-1.9745881866866895,[0. 0. 0.],[0. 0. 0.]
35,0.029639915485691906,-3.707002642020819,-3.707002642020819,[0. 0. 0.],[0. 0. 0.]
79,0.0,-6.31422743643874,1.0,[ 0.34092845  0.3617996  -0.72905543],[ 0.34092845  0.3617996  -0.72905543]
39,0.028143152528141868,-4.637194227099724,-4.637194227099724,[0. 0. 0.],[0. 0. 0.]
40,0.2237112613713346,-1.7898273725277614,-1.7898273725277614,[0. 0. 0.],[0. 0. 0.]
41,0.023765718883618083,-4.9933079177064865,-4.9933079177064865,[0. 0. 0.],[0. 0. 0.]
89,0.026047058748010332,-5.184879807154306,-6.709942655573634,[ 0.36471683 -0.7772782  -0.21479435],[ 0.36471683 -0.7772782  -0.21479435]
43,0.1752427443042987,-1.6746160173048985,-1.6746160173048985,[0. 0. 0.],[0. 0. 0.]
46,0.16850025569737145,-1.7008621390200196,-1.7008621390200196,[0. 0. 0.],[0. 0. 0.]
47,0.0,-2.0809896733948303,1.0,[0. 0. 0.],[0. 0. 0.]
49,0.0,-2.3782536008897015,1.0,[0. 0. 0.],[0. 0. 0.]
51,0.26721893217143555,-1.9764193361312934,-1.9764193361312934,[0. 0. 0.],[0. 0. 0.]
200,0.10242438515748604,-4.940593024260367,-6.54348471104114,[0.39691452 0.09847747 0.33172496],[0.39691452 0.09847747 0.33172496]
57,0.2615602282513896,-2.0350109045286815,-2.0350109045286815,[0. 0. 0.],[0. 0. 0.]
221,0.0,-3.0834325848954642,1.0,[ 0.16162857  0.13366236 -0.04063302],[ 0.16162857  0.13366236 -0.04063302]
61,0.22462784763299576,-2.176621225272021,-2.176621225272021,[0. 0. 0.],[0. 0. 0.]
62,0.0,-1.871903476199594,1.0,[0. 0. 0.],[0. 0. 0.]
64,0.23385429970813312,-2.1710518723167125,-2.1710518723167125,[0. 0. 0.],[0. 0. 0.]
276,0.0,-2.714682272833453,1.0,[-0.06766998  0.07697793  0.39898238],[-0.06766998  0.07697793  0.39898238]
70,0.07125365749816973,-4.459306925093881,-4.459306925093881,[0. 0. 0.],[0. 0. 0.]
301,0.3174712521321473,-3.1421526951019323,-4.568538448098098,[0.32689251 0.39264569 0.31982751],[0.32689251 0.39264569 0.31982751]
73,0.0,-1.8996847603016274,1.0,[0. 0. 0.],[0. 0. 0.]
74,0.2063880586133492,-2.335457496444587,-2.335457496444587,[0. 0. 0.],[0. 0. 0.]
76,0.22217091693334584,-2.0886913771310285,-2.0886913771310285,[0. 0. 0.],[0. 0. 0.]
78,0.05234973286663511,-4.111561890709278,-4.111561890709278,[0. 0. 0.],[0. 0. 0.]
134,0.0,-5.683487972426068,1.0,[ 0.39600442 -0.79512772 -0.2208852 ],[ 0.39600442 -0.79512772 -0.2208852 ]
80,0.20210806931416486,-1.8981245506526065,-1.8981245506526065,[0. 0. 0.],[0. 0. 0.]
84,0.21701296388148933,-1.8266674390040771,-1.8266674390040771,[0. 0. 0.],[0. 0. 0.]
85,0.0,-2.429754843217477,1.0,[0. 0. 0.],[0. 0. 0.]
86,0.025587196881336288,-3.662305172395377,-3.662305172395377,[0. 0. 0.],[0. 0. 0.]
88,0.22316874826096575,-1.7944552191397662,-1.7944552191397662,[0. 0. 0.],[0. 0. 0.]
143,0.0,-1.9852025659087826,1.0,[-0.07253871 -0.76949455  0.        ],[-0.07253871 -0.76949455  0.        ]
91,0.0,-4.1406641042890975,1.0,[0. 0. 0.],[0. 0. 0.]
92,0.0,-2.7123084177119194,1.0,[0. 0. 0.],[0. 0. 0.]
93,0.0,-4.156189869849087,1.0,[0. 0. 0.],[0. 0. 0.]
94,0.0,-4.325412238176503,1.0,[0. 0. 0.],[0. 0. 0.]
96,0.17287063468633715,-1.6919854264979872,-1.6919854264979872,[0. 0. 0.],[0. 0. 0.]
98,0.0,-2.1742878937290007,1.0,[0. 0. 0.],[0. 0. 0.]
102,0.2879368912361297,-1.9224916180653633,-1.9224916180653633,[0. 0. 0.],[0. 0. 0.]
103,0.0,-1.6627688275703791,1.0,[0. 0. 0.],[0. 0. 0.]
105,0.0,-1.8667654336841573,1.0,[0. 0. 0.],[0. 0. 0.]
109,0.0,-1.839642038307865,1.0,[0. 0. 0.],[0. 0. 0.]
111,0.07037000485453311,-3.647772128742517,-3.647772128742517,[0. 0. 0.],[0. 0. 0.]
113,0.0,-4.333765955119421,1.0,[0. 0. 0.],[0. 0. 0.]
114,0.2186728819504666,-2.222080596636827,-2.222080596636827,[0. 0. 0.],[0. 0. 0.]
115,0.24023068117879032,-2.1506745527908357,-2.1506745527908357,[0. 0. 0.],[0. 0. 0.]
119,0.21388653990187265,-2.273365811436285,-2.273365811436285,[0. 0. 0.],[0. 0. 0.]
120,0.02794125632438301,-4.652399336241103,-4.652399336241103,[0. 0. 0.],[0. 0. 0.]
123,0.0,-2.0082241642371588,1.0,[0. 0. 0.],[0. 0. 0.]
125,0.0,-1.9208739182699304,1.0,[0. 0. 0.],[0. 0. 0.]
126,0.0,-1.8645687243527114,1.0,[0. 0. 0.],[0. 0. 0.]
128,0.03389271423909127,-4.677507914813993,-4.677507914813993,[0. 0. 0.],[0. 0. 0.]
130,0.0,-4.325817307195303,1.0,[0. 0. 0.],[0. 0. 0.]
131,0.020178556014010942,-4.529351419457383,-4.529351419457383,[0. 0. 0.],[0. 0. 0.]
132,0.03615017677393327,-3.9090754126982725,-3.9090754126982725,[0. 0. 0.],[0. 0. 0.]
138,0.0,-4.232024477068061,1.0,[0. 0. 0.],[0. 0. 0.]
140,0.22142525468171914,-1.7983808863585211,-1.7983808863585211,[0. 0. 0.],[0. 0. 0.]
498,0.0,-2.5627979537787193,1.0,[-0.04432837 -0.11150693  0.        ],[-0.04432837 -0.11150693  0.        ]
144,0.0,-2.2107353467560666,1.0,[0. 0. 0.],[0. 0. 0.]
145,0.22578775755652017,-1.777798153599171,-1.777798153599171,[0. 0. 0.],[0. 0. 0.]
146,0.014289551217171508,-4.752026137122707,-4.752026137122707,[0. 0. 0.],[0. 0. 0.]
147,0.22833876543015952,-1.7675826090844433,-1.7675826090844433,[0. 0. 0.],[0. 0. 0.]
150,0.0,-1.713960562296356,1.0,[0. 0. 0.],[0. 0. 0.]
152,0.26178104997216867,-1.9930876730766263,-1.9930876730766263,[0. 0. 0.],[0. 0. 0.]
153,0.25341149692636095,-2.027645984043553,-2.027645984043553,[0. 0. 0.],[0. 0. 0.]
154,0.0,-1.7056485022079058,1.0,[0. 0. 0.],[0. 0. 0.]
155,0.0,-1.8485870755560974,1.0,[0. 0. 0.],[0. 0. 0.]
156,0.26830160446039514,-2.0048656668914187,-2.0048656668914187,[0. 0. 0.],[0. 0. 0.]
162,0.0,-1.7338387076147381,1.0,[0. 0. 0.],[0. 0. 0.]
168,0.0,-4.009633182033115,1.0,[0. 0. 0.],[0. 0. 0.]
169,0.2078717618485387,-2.29562796338354,-2.29562796338354,[0. 0. 0.],[0. 0. 0.]
174,0.0,-4.99386241645392,1.0,[0. 0. 0.],[0. 0. 0.]
553,0.0,-2.242418121721264,1.0,[-0.11623155  0.2037429   0.33433582],[-0.11623155  0.2037429   0.33433582]
178,0.0,-5.098125162764296,1.0,[0. 0. 0.],[0. 0. 0.]
179,0.2060140133279354,-1.883579642638897,-1.883579642638897,[0. 0. 0.],[0. 0. 0.]
180,0.0,-4.23562168674302,1.0,[0. 0. 0.],[0. 0. 0.]
181,0.026825561007695772,-4.893310043197919,-4.893310043197919,[0. 0. 0.],[0. 0. 0.]
184,0.0,-3.9076402783793593,1.0,[0. 0. 0.],[0. 0. 0.]
187,0.060065725725450526,-4.080243204375384,-4.080243204375384,[0. 0. 0.],[0. 0. 0.]
188,0.223297220014436,-1.7930833064576424,-1.7930833064576424,[0. 0. 0.],[0. 0. 0.]
189,0.0,-2.1532506956569644,1.0,[0. 0. 0.],[0. 0. 0.]
543,0.0,-6.045089134880682,1.0,[ 0.16842573 -0.27804106  0.        ],[ 0.16842573 -0.27804106  0.        ]
193,0.2256453476986264,-1.7793371971029648,-1.7793371971029648,[0. 0. 0.],[0. 0. 0.]
195,0.22872337786351785,-1.7661617212472183,-1.7661617212472183,[0. 0. 0.],[0. 0. 0.]
196,0.0,-2.1642360538784824,1.0,[0. 0. 0.],[0. 0. 0.]
197,0.22852750821130757,-1.7664806547225065,-1.7664806547225065,[0. 0. 0.],[0. 0. 0.]
198,0.03712568913688366,-4.556828942527078,-4.556828942527078,[0. 0. 0.],[0. 0. 0.]
201,0.0,-5.398440150819061,1.0,[0. 0. 0.],[0. 0. 0.]
203,0.13217216709628535,-3.835038669004165,-3.835038669004165,[0. 0. 0.],[0. 0. 0.]
206,0.0,-1.8992328730833568,1.0,[0. 0. 0.],[0. 0. 0.]
572,0.0,-2.3184219851164336,1.0,[-0.11703326  0.39637981 -0.07198956],[-0.11703326  0.39637981 -0.07198956]
208,0.0,-1.7241311690712977,1.0,[0. 0. 0.],[0. 0. 0.]
574,0.0,-2.7758837554123694,1.0,[-0.04063302  0.17380717 -0.04685373],[-0.04063302  0.17380717 -0.04685373]
210,0.2615223486227204,-1.8515385236476725,-1.8515385236476725,[0. 0. 0.],[0. 0. 0.]
213,0.25121984447926793,-2.100629144275075,-2.100629144275075,[0. 0. 0.],[0. 0. 0.]
215,0.0,-1.7953775842058475,1.0,[0. 0. 0.],[0. 0. 0.]
218,0.20195685964189916,-2.3137141529805,-2.3137141529805,[0. 0. 0.],[0. 0. 0.]
