pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
1,0.0,-5.756988619097546,1.0,[0. 0. 0.],[0. 0. 0.]
2,0.0,-1.8593047378589587,1.0,[0. 0. 0.],[0. 0. 0.]
3,0.2817331103152229,-1.9536844738364387,-1.9536844738364387,[0. 0. 0.],[0. 0. 0.]
5,0.0,-4.23311225489493,1.0,[0. 0. 0.],[0. 0. 0.]
8,0.0,-1.8796945278031858,1.0,[0. 0. 0.],[0. 0. 0.]
10,0.21857395214092254,-2.191193097084864,-2.191193097084864,[0. 0. 0.],[0. 0. 0.]
11,0.23900476223246747,-2.130815046237503,-2.130815046237503,[0. 0. 0.],[0. 0. 0.]
14,0.01762880860630757,-5.836414080130576,-5.836414080130576,[0. 0. 0.],[0. 0. 0.]
15,0.09354337342609573,-3.7375784641754093,-3.7375784641754093,[0. 0. 0.],[0. 0. 0.]
16,0.0,-5.424520188536745,1.0,[0. 0. 0.],[0. 0. 0.]
17,0.0,-4.738868890965253,1.0,[0. 0. 0.],[0. 0. 0.]
18,0.0,-3.867656344058825,1.0,[0. 0. 0.],[0. 0. 0.]
21,0.0,-1.8508407394257749,1.0,[0. 0. 0.],[0. 0. 0.]
22,0.059687401385300695,-4.011112366654407,-4.011112366654407,[0. 0. 0.],[0. 0. 0.]
25,0.08398104706406304,-3.859313321964832,-3.859313321964832,[0. 0. 0.],[0. 0. 0.]
35,0.0,-5.998599681907029,1.0,[0.32109703 0.         0.        ],[0.32109703 0.         0.        ]
28,0.14017699795675612,-2.014807197895718,-2.014807197895718,[0. 0. 0.],[0. 0. 0.]
30,0.004704799318875642,-6.65125677992793,-6.65125677992793,[0. 0. 0.],[0. 0. 0.]
32,0.2096529836353564,-1.8612844888831133,-1.8612844888831133,[0. 0. 0.],[0. 0. 0.]
43,0.03856638955909063,-4.9899258946745775,-6.888713148631654,[0.31789521 0.32109703 0.        ],[0.31789521 0.32109703 0.        ]
36,0.21681747376300942,-1.8238112948390013,-1.8238112948390013,[0. 0. 0.],[0. 0. 0.]
85,0.024651390871394115,-4.980963100824475,-6.95463126156733,[0.32673619 0.23624019 0.31789521],[0.32673619 0.23624019 0.31789521]
39,0.22275016671774145,-1.7947015432325977,-1.7947015432325977,[0. 0. 0.],[0. 0. 0.]
50,0.25897128337616576,-1.9956945321124835,-1.9956945321124835,[0. 0. 0.],[0. 0. 0.]
51,0.03646517126126893,-4.408550981044349,-4.408550981044349,[0. 0. 0.],[0. 0. 0.]
54,0.0,-5.156489181163338,1.0,[0. 0. 0.],[0. 0. 0.]
55,0.0,-1.9013646069988666,1.0,[0. 0. 0.],[0. 0. 0.]
209,0.07657978125716935,-4.61308425680489,-6.153342337500175,[0.27353728 0.28589985 0.31170639],[0.27353728 0.28589985 0.31170639]
57,0.27642455468080596,-1.7574448136223968,-1.7574448136223968,[0. 0. 0.],[0. 0. 0.]
58,0.0,-1.8953535645547541,1.0,[0. 0. 0.],[0. 0. 0.]
59,0.2578355462146047,-2.0587836482057,-2.0587836482057,[0. 0. 0.],[0. 0. 0.]
61,0.2631485325117372,-2.055749985197129,-2.055749985197129,[0. 0. 0.],[0. 0. 0.]
65,0.05925731699028015,-3.269657726493253,-3.269657726493253,[0. 0. 0.],[0. 0. 0.]
69,0.0,-1.8480029123108028,1.0,[0. 0. 0.],[0. 0. 0.]
73,0.0,-2.002236227374825,1.0,[0. 0. 0.],[0. 0. 0.]
74,0.20372469205035595,-2.1242192200871806,-2.1242192200871806,[0. 0. 0.],[0. 0. 0.]
77,0.0,-2.447757504106678,1.0,[0. 0. 0.],[0. 0. 0.]
78,0.01509602566570038,-3.1146673161518255,-3.1146673161518255,[0. 0. 0.],[0. 0. 0.]
285,0.16016622221475568,-2.6308109792086474,-3.1133779892914752,[0.06251657 0.32878793 0.18901377],[0.06251657 0.32878793 0.18901377]
81,0.018085354976498005,-5.069761124086254,-5.069761124086254,[0. 0. 0.],[0. 0. 0.]
83,0.0,-6.096571622195276,1.0,[0. 0. 0.],[0. 0. 0.]
87,0.03835577212211754,-3.2855962366895604,-3.2855962366895604,[0. 0. 0.],[0. 0. 0.]
90,0.03774767967512124,-3.3578759855373113,-3.3578759855373113,[0. 0. 0.],[0. 0. 0.]
92,0.22623006717803631,-1.7782610492460316,-1.7782610492460316,[0. 0. 0.],[0. 0. 0.]
93,0.0,-5.315137612153892,1.0,[0. 0. 0.],[0. 0. 0.]
94,0.0,-3.969587438765771,1.0,[0. 0. 0.],[0. 0. 0.]
103,0.0,-1.9300280100799234,1.0,[0. 0. 0.],[0. 0. 0.]
104,0.26760254385146315,-1.9929922799703057,-1.9929922799703057,[0. 0. 0.],[0. 0. 0.]
105,0.28096359122437237,-1.753265084104714,-1.753265084104714,[0. 0. 0.],[0. 0. 0.]
272,0.07790733577985517,-4.67092542372297,-6.497243272160336,[0.30941048 0.31539664 0.20160224],[0.30941048 0.31539664 0.20160224]
107,0.0,-1.8622047597703035,1.0,[0. 0. 0.],[0. 0. 0.]
110,0.24548219640638533,-2.1059927899049824,-2.1059927899049824,[0. 0. 0.],[0. 0. 0.]
113,0.22577389124712635,-2.1885273913945325,-2.1885273913945325,[0. 0. 0.],[0. 0. 0.]
115,0.05949001775050238,-3.950893166010351,-3.950893166010351,[0. 0. 0.],[0. 0. 0.]
117,0.21285816540862695,-2.2634166232342787,-2.2634166232342787,[0. 0. 0.],[0. 0. 0.]
119,0.2329517821834256,-2.204476218785828,-2.204476218785828,[0. 0. 0.],[0. 0. 0.]
317,0.0,-4.972741312694274,1.0,[0.30765132 0.32830878 0.32707871],[0.30765132 0.32830878 0.32707871]
122,0.2123957036464074,-2.2997203196958584,-2.2997203196958584,[0. 0. 0.],[0. 0. 0.]
123,0.0,-4.128095816540512,1.0,[0. 0. 0.],[0. 0. 0.]
132,0.0,-2.4020357320182013,1.0,[0. 0. 0.],[0. 0. 0.]
133,0.0,-4.0495486115837664,1.0,[0. 0. 0.],[0. 0. 0.]
141,0.22589414810794511,-1.7801714138360472,-1.7801714138360472,[0. 0. 0.],[0. 0. 0.]
142,0.17010120617977148,-1.716755752724117,-1.716755752724117,[0. 0. 0.],[0. 0. 0.]
146,0.22803377292517613,-1.7688934908555287,-1.7688934908555287,[0. 0. 0.],[0. 0. 0.]
148,0.03660058563782591,-3.3809579183314398,-3.3809579183314398,[0. 0. 0.],[0. 0. 0.]
149,0.1744544471649424,-1.6953799725372558,-1.6953799725372558,[0. 0. 0.],[0. 0. 0.]
150,0.07348204402515073,-3.848769293714382,-3.848769293714382,[0. 0. 0.],[0. 0. 0.]
151,0.25229471531573827,-2.0161132406544886,-2.0161132406544886,[0. 0. 0.],[0. 0. 0.]
155,0.2769423552985173,-1.774402896682315,-1.774402896682315,[0. 0. 0.],[0. 0. 0.]
158,0.24619813583597835,-1.8635456065670437,-1.8635456065670437,[0. 0. 0.],[0. 0. 0.]
159,0.017693649589735752,-5.175172115689695,-5.175172115689695,[0. 0. 0.],[0. 0. 0.]
160,0.0,-1.8825073170272277,1.0,[0. 0. 0.],[0. 0. 0.]
161,0.0,-1.8694138899891104,1.0,[0. 0. 0.],[0. 0. 0.]
351,0.03688625213303272,-5.095374356351027,-7.044701215632658,[0.32382278 0.25662529 0.24361635],[0.32382278 0.25662529 0.24361635]
165,0.07076085322066754,-4.440869449141251,-4.440869449141251,[0. 0. 0.],[0. 0. 0.]
169,0.0,-1.8404089798929042,1.0,[0. 0. 0.],[0. 0. 0.]
171,0.22479395789607598,-2.2462479385487577,-2.2462479385487577,[0. 0. 0.],[0. 0. 0.]
174,0.0,-1.9350135173517942,1.0,[0. 0. 0.],[0. 0. 0.]
175,0.18990835288520175,-2.408976079943532,-2.408976079943532,[0. 0. 0.],[0. 0. 0.]
176,0.0,-5.631293785831593,1.0,[0. 0. 0.],[0. 0. 0.]
177,0.20423976358299245,-1.9010481418646288,-1.9010481418646288,[0. 0. 0.],[0. 0. 0.]
181,0.14923559687117477,-1.9350900107518576,-1.9350900107518576,[0. 0. 0.],[0. 0. 0.]
184,0.0,-4.881932471493915,1.0,[0. 0. 0.],[0. 0. 0.]
189,0.21777624357060651,-1.8132726999711006,-1.8132726999711006,[0. 0. 0.],[0. 0. 0.]
190,0.16012176762781669,-1.7772452390659392,-1.7772452390659392,[0. 0. 0.],[0. 0. 0.]
191,0.0,-2.5168255024705197,1.0,[0. 0. 0.],[0. 0. 0.]
194,0.22765078830493868,-1.7708292590351282,-1.7708292590351282,[0. 0. 0.],[0. 0. 0.]
581,0.0,-3.1886319519162605,1.0,[0.2351964  0.3266528  0.18108793],[0.2351964  0.3266528  0.18108793]
198,0.22739659373167917,-1.7710522078697946,-1.7710522078697946,[0. 0. 0.],[0. 0. 0.]
199,0.2289108392220469,-1.765235089321022,-1.765235089321022,[0. 0. 0.],[0. 0. 0.]
201,0.05266182196029807,-3.804834318718596,-3.804834318718596,[0. 0. 0.],[0. 0. 0.]
204,0.0,-4.10889675401103,1.0,[0. 0. 0.],[0. 0. 0.]
205,0.0,-1.9389518940664723,1.0,[0. 0. 0.],[0. 0. 0.]
366,0.0,-4.917284985971482,1.0,[ 0.24361635 -0.05417081  0.24564196],[ 0.24361635 -0.05417081  0.24564196]
208,0.0,-1.8660977651260802,1.0,[0. 0. 0.],[0. 0. 0.]
475,0.25874724698953105,-3.005936966202892,-4.352285332838987,[0.24564196 0.31105526 0.32671776],[0.24564196 0.31105526 0.32671776]
213,0.0,-4.234528533286177,1.0,[0. 0. 0.],[0. 0. 0.]
215,0.0,-1.806537062184564,1.0,[0. 0. 0.],[0. 0. 0.]
216,0.22081968144010172,-2.0022499166203644,-2.0022499166203644,[0. 0. 0.],[0. 0. 0.]
217,0.043449719861525904,-4.216437671462174,-4.216437671462174,[0. 0. 0.],[0. 0. 0.]
218,0.21339939324283644,-2.268083295417194,-2.268083295417194,[0. 0. 0.],[0. 0. 0.]
219,0.19253355330092947,-2.357257790139976,-2.357257790139976,[0. 0. 0.],[0. 0. 0.]
220,0.22864102532918562,-2.2229782608478765,-2.2229782608478765,[0. 0. 0.],[0. 0. 0.]
221,0.2357884329231662,-2.0145294856909417,-2.0145294856909417,[0. 0. 0.],[0. 0. 0.]
226,0.0,-1.8435958782749096,1.0,[0. 0. 0.],[0. 0. 0.]
227,0.04885272837420902,-4.313651011044037,-4.313651011044037,[0. 0. 0.],[0. 0. 0.]
232,0.21421844416509894,-1.8402640395425784,-1.8402640395425784,[0. 0. 0.],[0. 0. 0.]
677,0.0,-3.274178314732591,1.0,[0.15537207 0.32819203 0.2351964 ],[0.15537207 0.32819203 0.2351964 ]
236,0.0,-1.9068980567189768,1.0,[0. 0. 0.],[0. 0. 0.]
693,0.0,-2.7282557629955306,1.0,[0.28493552 0.3291982  0.32939085],[0.28493552 0.3291982  0.32939085]
239,0.0,-2.084140805201508,1.0,[0. 0. 0.],[0. 0. 0.]
242,0.04466042479313674,-4.356211316593088,-4.356211316593088,[0. 0. 0.],[0. 0. 0.]
247,0.0,-4.736957240539329,1.0,[0. 0. 0.],[0. 0. 0.]
249,0.0,-2.114573597509896,1.0,[0. 0. 0.],[0. 0. 0.]
506,0.0,-6.125515738331142,1.0,[0.31105526 0.32671776 0.28585756],[0.31105526 0.32671776 0.28585756]
