pixel_index,color,log_p_z,log_p_z_ref,joint_score_p,joint_score_ref_p,joint_score_nr,joint_score_ref_nr,joint_score_ni,joint_score_ref_ni
2,0.2532686823996131,-1.9443546015154318,-1.9443546015154318,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,-4.616194320185233,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-1.957091390982715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,-2.7859783701330683,1.0,0.0,0.0,0.15627843256308907,0.8046120867607317,0.0,0.0
10,0.06404162367056286,-4.009910641057204,-4.009910641057204,0.0,0.0,0.0,0.0,0.0,0.0
17,0.04404823173444442,-4.834084480798656,-4.834084480798656,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,-4.444536150140348,1.0,0.0,0.0,0.44097304379962327,1.548218437728071,0.0,0.0
21,0.20873548368448616,-2.2908662838667793,-2.2908662838667793,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,-2.011400502043534,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.2288580155612545,-2.240452127209406,-2.240452127209406,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,-2.0602308874920605,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0844255793585342,-4.201900540179537,-4.201900540179537,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,-8.151916499424654,1.0,0.0,0.0,0.8367751988834479,3.1837886619092353,0.15627843256308907,0.8046120867607317
36,0.10875793102635424,-2.276509267412387,-2.276509267412387,0.0,0.0,0.0,0.0,0.0,0.0
136,0.12481031836228611,-3.473908199331973,-4.396371432499575,0.0,0.0,0.5780108885283428,2.003614474376126,0.0,0.0
39,0.1454214273570507,-2.0407233677520455,-2.0407233677520455,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,-3.4647649508301734,1.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0.045542491177727545,-5.513806985771995,-6.939099491059784,0.0,0.0,0.8310432739814204,3.1561930207047926,0.0,0.0
44,0.2151422880144943,-1.8355613065903544,-1.8355613065903544,0.0,0.0,0.0,0.0,0.0,0.0
45,0.15865805882937611,-1.9224119016233607,-1.9224119016233607,0.0,0.0,0.0,0.0,0.0,0.0
46,0.21826958601325655,-1.819095080472313,-1.819095080472313,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,-4.431694028590655,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.08872298088365842,-3.7908195534764526,-3.7908195534764526,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,-1.9221428200990567,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.21630583578673546,-2.1995195406751638,-2.1995195406751638,0.0,0.0,0.0,0.0,0.0,0.0
59,0.21958045797033887,-2.1949138175222704,-2.1949138175222704,0.0,0.0,0.0,0.0,0.0,0.0
60,0.2538600094847186,-1.9734229279116797,-1.9734229279116797,0.0,0.0,0.0,0.0,0.0,0.0
61,0.23747309921235157,-2.020841324578159,-2.020841324578159,0.0,0.0,0.0,0.0,0.0,0.0
63,0.00805886565960397,-3.5602880409505246,-3.5602880409505246,0.0,0.0,0.0,0.0,0.0,0.0
65,0.21341704734065287,-2.1165153353255874,-2.1165153353255874,0.0,0.0,0.0,0.0,0.0,0.0
66,0.03679194002790445,-4.9068259950586075,-4.9068259950586075,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,-2.0715822987085915,1.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.007748434101570844,-6.572380384152595,-8.798030880714878,0.6888173834987437,2.4551701498086476,1.3527165870128983,4.862407152867673,0.6302700339607757,2.205690339002282
19,0.0,-2.7859783701330683,1.0,0.8136087009290806,3.0681646077715143,0.0,0.0,0.8035771450526088,3.016470862595274
72,0.0,-2.0271659242007676,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.17784127215702597,-2.441133689385382,-2.441133689385382,0.0,0.0,0.0,0.0,0.0,0.0
79,0.05410861464675028,-4.119909448819315,-4.119909448819315,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,-3.248891260047534,1.0,0.20070685471440053,0.9117801000795299,0.40342452589905003,1.438235111163963,0.0,0.0
84,0.0,-3.6735228509258304,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,-4.913110958619688,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,-2.3864761991953,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,-4.114770861851234,1.0,0.0,0.0,0.0,0.0,0.0,0.0
394,0.0,-3.3252175093102383,1.0,0.8310432739814204,3.1561930207047926,0.4110827288517405,1.46024503956595,0.0,0.0
447,0.0,-3.1544287279191034,1.0,0.40342452589905003,1.438235111163963,0.35487812655242307,1.303208050573149,0.0,0.0
596,0.0,-4.948829959376662,1.0,0.8376712859303854,3.187971979452103,0.7789939193975255,2.8898878428251256,0.0,0.0
641,0.0,-3.7580513716928774,1.0,0.4110827288517405,1.46024503956595,0.06424577044444352,0.5786811488094314,0.0,0.0
101,0.24090291525098873,-2.086219193747089,-2.086219193747089,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,-4.444536150140348,1.0,0.6302700339607757,2.205690339002282,0.0,0.0,1.3527165870128983,4.862407152867673
108,0.06387538695033701,-3.7723980707330327,-3.7723980707330327,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,-8.151916499424654,1.0,0.8035771450526088,3.016470862595274,0.0,0.0,0.0,0.0
115,0.24461532660546356,-2.1399016250583336,-2.1399016250583336,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,-1.9197381801011295,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,-2.062072388441642,1.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.007748434101570844,-6.572380384152595,-8.798030880714878,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,-2.086629886041995,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,-2.7859783701330683,1.0,0.0,0.0,0.0,0.0,0.0,0.0
