pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
1,0.25245976326483854,-2.0205436181238343,-2.0205436181238343,[0. 0. 0.],[0. 0. 0.]
6,0.07555320119183132,-3.9442168813532916,-3.9442168813532916,[0. 0. 0.],[0. 0. 0.]
9,0.2611425692095992,-1.8007168556183573,-1.8007168556183573,[0. 0. 0.],[0. 0. 0.]
109,0.09247583971229181,-5.200792968298642,-6.80653645987172,[ 0.39823182 -0.78168079  0.        ],[ 0.39823182 -0.78168079  0.        ]
13,0.22674714700901027,-2.1891546908696315,-2.1891546908696315,[0. 0. 0.],[0. 0. 0.]
14,0.03457069347799546,-4.0934787012898415,-4.0934787012898415,[0. 0. 0.],[0. 0. 0.]
19,0.24083156142727744,-1.9490287846943637,-1.9490287846943637,[0. 0. 0.],[0. 0. 0.]
20,0.0,-1.897497715205801,1.0,[0. 0. 0.],[0. 0. 0.]
116,0.0,-2.5887887214970724,1.0,[-0.08963545 -0.79879232  0.        ],[-0.08963545 -0.79879232  0.        ]
24,0.19937600249875143,-2.365160239053124,-2.365160239053124,[0. 0. 0.],[0. 0. 0.]
25,0.0,-2.128718361311516,1.0,[0. 0. 0.],[0. 0. 0.]
26,0.2021556406302281,-1.9109559430588625,-1.9109559430588625,[0. 0. 0.],[0. 0. 0.]
27,0.20091035066140986,-1.914777858207104,-1.914777858207104,[0. 0. 0.],[0. 0. 0.]
42,0.027957350505233666,-5.648949092593415,-7.1980982968681,[ 0.37427516  0.         -0.77800526],[ 0.37427516  0.         -0.77800526]
30,0.05818440132198685,-4.1126687708589404,-4.1126687708589404,[0. 0. 0.],[0. 0. 0.]
32,0.20666073083481165,-1.8739344070861614,-1.8739344070861614,[0. 0. 0.],[0. 0. 0.]
39,0.00014644655210389342,-3.5186284771993224,-3.5186284771993224,[0. 0. 0.],[0. 0. 0.]
43,0.22090976115822458,-1.798468067044761,-1.798468067044761,[0. 0. 0.],[0. 0. 0.]
44,0.22382586474953695,-1.7865424768369518,-1.7865424768369518,[0. 0. 0.],[0. 0. 0.]
45,0.22257570849546235,-1.791095119936057,-1.791095119936057,[0. 0. 0.],[0. 0. 0.]
243,0.0,-3.1876520493753624,1.0,[ 0.2312195   0.         -0.64070723],[ 0.2312195   0.         -0.64070723]
50,0.2794898681188864,-1.7327005673375608,-1.7327005673375608,[0. 0. 0.],[0. 0. 0.]
52,0.0,-3.758889441285592,1.0,[0. 0. 0.],[0. 0. 0.]
161,0.0,-6.121520299855803,1.0,[ 0.2324918  -0.70669465  0.        ],[ 0.2324918  -0.70669465  0.        ]
54,0.24167479886093282,-2.0741548901276503,-2.0741548901276503,[0. 0. 0.],[0. 0. 0.]
55,0.0,-4.212460707135719,1.0,[0. 0. 0.],[0. 0. 0.]
56,0.0,-1.7280068910887674,1.0,[0. 0. 0.],[0. 0. 0.]
57,0.05003666384162458,-4.1931982365536875,-4.1931982365536875,[0. 0. 0.],[0. 0. 0.]
60,0.061505397740168895,-3.2808040951580866,-3.2808040951580866,[0. 0. 0.],[0. 0. 0.]
61,0.035495671872051195,-4.971499802413584,-4.971499802413584,[0. 0. 0.],[0. 0. 0.]
63,0.21420152653492738,-2.2314793531282824,-2.2314793531282824,[0. 0. 0.],[0. 0. 0.]
65,0.20353639799195447,-2.286495016622598,-2.286495016622598,[0. 0. 0.],[0. 0. 0.]
276,0.0,-4.636662969092073,1.0,[-0.11052252 -0.78986547  0.        ],[-0.11052252 -0.78986547  0.        ]
68,0.0,-5.290131090898274,1.0,[0. 0. 0.],[0. 0. 0.]
71,0.20236428067320647,-2.3276991481520777,-2.3276991481520777,[0. 0. 0.],[0. 0. 0.]
72,0.0,-1.913267883740649,1.0,[0. 0. 0.],[0. 0. 0.]
452,0.0,-2.4148113416222157,1.0,[-0.10348352 -0.17460445  0.        ],[-0.10348352 -0.17460445  0.        ]
78,0.20850512260497162,-1.876218534079336,-1.876218534079336,[0. 0. 0.],[0. 0. 0.]
79,0.1995855914719388,-1.9127205632379096,-1.9127205632379096,[0. 0. 0.],[0. 0. 0.]
82,0.21444721744521905,-1.8406251288077073,-1.8406251288077073,[0. 0. 0.],[0. 0. 0.]
86,0.0,-3.7363711767291248,1.0,[0. 0. 0.],[0. 0. 0.]
89,0.2216380329499877,-1.7982800767843499,-1.7982800767843499,[0. 0. 0.],[0. 0. 0.]
90,0.22736013456628723,-1.7751955931120718,-1.7751955931120718,[0. 0. 0.],[0. 0. 0.]
444,0.0,-3.1117528124574507,1.0,[ 0.34400793  0.         -0.75064402],[ 0.34400793  0.         -0.75064402]
93,0.0,-3.83553341046894,1.0,[0. 0. 0.],[0. 0. 0.]
94,0.0,-2.305852293006823,1.0,[0. 0. 0.],[0. 0. 0.]
484,0.03772018958546548,-5.361708032851375,-6.969292756005924,[ 0.39910042  0.         -0.79927369],[ 0.39910042  0.         -0.79927369]
97,0.2277836724431086,-1.770134972335572,-1.770134972335572,[0. 0. 0.],[0. 0. 0.]
98,0.05116912164849785,-3.6075045281449425,-3.6075045281449425,[0. 0. 0.],[0. 0. 0.]
103,0.2596934796334925,-2.0070015000971555,-2.0070015000971555,[0. 0. 0.],[0. 0. 0.]
104,0.27287207715278117,-1.7704534194370032,-1.7704534194370032,[0. 0. 0.],[0. 0. 0.]
105,0.0,-4.084193298074437,1.0,[0. 0. 0.],[0. 0. 0.]
106,0.0,-1.6729310285478238,1.0,[0. 0. 0.],[0. 0. 0.]
110,0.07756225457824978,-3.8123570645326077,-3.8123570645326077,[0. 0. 0.],[0. 0. 0.]
525,0.0,-2.933632167192297,1.0,[ 0.05067601 -0.61167964  0.        ],[ 0.05067601 -0.61167964  0.        ]
115,0.2845773775607927,-1.8091699488404613,-1.8091699488404613,[0. 0. 0.],[0. 0. 0.]
564,0.0,-2.425450447178881,1.0,[-0.10631901 -0.43967229  0.        ],[-0.10631901 -0.43967229  0.        ]
751,0.11552230350065927,-4.9294626299784925,-6.478799250279482,[ 0.37435043 -0.18871448  0.        ],[ 0.37435043 -0.18871448  0.        ]
