pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
0,0.25412870647023156,-2.0078118184876974,-2.0078118184876974,[0. 0. 0.],[0. 0. 0.]
2,0.2729505012258965,-1.97091724850287,-1.97091724850287,[0. 0. 0.],[0. 0. 0.]
7,0.0,-2.2828372720153043,1.0,[ 3.63776045e-03  1.16250500e+00 -1.01957925e-08],[ 3.63776045e-03  1.16250500e+00 -1.01957925e-08]
6,0.00046902016444501544,-3.6758573935125023,-3.6758573935125023,[0. 0. 0.],[0. 0. 0.]
201,0.0,-2.3409687853428416,1.0,[ 3.79857219e-02  1.00301678e+00 -1.60821198e-08],[ 3.79857219e-02  1.00301678e+00 -1.60821198e-08]
9,0.25264049761780905,-2.0715788346623127,-2.0715788346623127,[0. 0. 0.],[0. 0. 0.]
10,0.0,-1.7736530746282713,1.0,[0. 0. 0.],[0. 0. 0.]
13,0.06346242840929678,-3.7354924810368395,-3.7354924810368395,[0. 0. 0.],[0. 0. 0.]
373,0.04804476072090234,-5.82546554459221,-6.464499802621791,[ 8.57393091e-01  1.04954166e+00 -1.25300816e-08],[ 8.57393091e-01  1.04954166e+00 -1.25300816e-08]
22,0.0,-1.8544198384892236,1.0,[0. 0. 0.],[0. 0. 0.]
24,0.0,-1.8840350989406724,1.0,[0. 0. 0.],[0. 0. 0.]
27,0.13811510987049833,-2.0476153699641504,-2.0476153699641504,[0. 0. 0.],[0. 0. 0.]
29,0.0,-2.3349462169728414,1.0,[0. 0. 0.],[0. 0. 0.]
32,0.0,-4.037649728506286,1.0,[0. 0. 0.],[0. 0. 0.]
34,0.02384262877917217,-3.3753333129234067,-3.3753333129234067,[0. 0. 0.],[0. 0. 0.]
35,0.0,-3.3202589139784706,1.0,[0. 0. 0.],[0. 0. 0.]
38,0.06864014078307862,-3.950627714215546,-3.950627714215546,[0. 0. 0.],[0. 0. 0.]
40,0.0,-2.417665250100237,1.0,[0. 0. 0.],[0. 0. 0.]
45,0.16915234474344834,-1.6927406754789274,-1.6927406754789274,[0. 0. 0.],[0. 0. 0.]
85,0.0,-3.4316286183098113,1.0,[ 4.32144549e-01  0.00000000e+00 -1.77449991e-08],[ 4.32144549e-01  0.00000000e+00 -1.77449991e-08]
49,0.019621990586206332,-4.274073989092937,-4.274073989092937,[0. 0. 0.],[0. 0. 0.]
50,0.0,-1.6531159331483622,1.0,[0. 0. 0.],[0. 0. 0.]
51,0.2718210091548831,-1.9629674412511264,-1.9629674412511264,[0. 0. 0.],[0. 0. 0.]
573,0.27656627734502376,-3.7038717530078094,-4.431278148843077,[ 9.73417788e-01 -3.29547119e-09 -1.50006942e-08],[ 9.73417788e-01 -3.29547119e-09 -1.50006942e-08]
53,0.0,-1.9313750370069689,1.0,[0. 0. 0.],[0. 0. 0.]
56,0.07531691086785763,-3.889639227160382,-3.889639227160382,[0. 0. 0.],[0. 0. 0.]
57,0.08577653746877302,-3.6954814187187948,-3.6954814187187948,[0. 0. 0.],[0. 0. 0.]
60,0.0,-1.7348060677892456,1.0,[0. 0. 0.],[0. 0. 0.]
70,0.23987029304586482,-1.965343806332478,-1.965343806332478,[0. 0. 0.],[0. 0. 0.]
708,0.06364943918438057,-5.8296017729255585,-6.6766966229672216,[ 1.12341952e+00 -1.08115138e-08  0.00000000e+00],[ 1.12341952e+00 -1.08115138e-08  0.00000000e+00]
74,0.0,-1.874901999498099,1.0,[0. 0. 0.],[0. 0. 0.]
75,0.04632000120704256,-4.167559219887821,-4.167559219887821,[0. 0. 0.],[0. 0. 0.]
77,0.0036204608741635586,-6.918176615412504,-6.918176615412504,[0. 0. 0.],[0. 0. 0.]
78,0.0,-4.2604857018598175,1.0,[0. 0. 0.],[0. 0. 0.]
83,0.1265565253648989,-2.0014170621183234,-2.0014170621183234,[0. 0. 0.],[0. 0. 0.]
291,0.16030909226127463,-3.5583560897322126,-4.371504046967875,[1.08164226 0.         0.        ],[1.08164226 0.         0.        ]
91,0.0,-2.2307375451910594,1.0,[0. 0. 0.],[0. 0. 0.]
94,0.0,-2.1701669947825897,1.0,[0. 0. 0.],[0. 0. 0.]
102,0.2517867629795441,-2.025411355773455,-2.025411355773455,[0. 0. 0.],[0. 0. 0.]
103,0.2566041920261289,-2.0194709959789576,-2.0194709959789576,[0. 0. 0.],[0. 0. 0.]
