pixel_index,color,log_p_z,log_p_z_ref,joint_score_p,joint_score_ref_p,joint_score_nr,joint_score_ref_nr,joint_score_ni,joint_score_ref_ni
4,0.09750901262576313,-4.111091142429406,-4.111091142429406,0.0,0.0,0.0,0.0,0.0,0.0
6,0.06136616656996551,-4.159956681185861,-4.159956681185861,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0442548544482567,-4.493669956008194,-4.493669956008194,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,-4.004814245372922,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05059040777631312,-3.8260328072319485,-3.8260328072319485,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0419270161520878,-3.2378895109892465,-3.2378895109892465,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0029962282608964907,-3.7550122207300154,-3.7550122207300154,0.0,0.0,0.0,0.0,0.0,0.0
26,0.048312571061838554,-5.33260407754272,-5.950414518153105,0.0,0.0,0.8288182515859578,1.933343602396832,0.35513772618568695,1.002291734734139
20,0.0,-3.7124070173463473,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.032747583713314085,-5.1198131080408125,-5.1198131080408125,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,-5.282437800002044,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,-4.468150922305663,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.22664029613375927,-2.250608548619015,-2.250608548619015,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,-5.992815522469437,1.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,-5.809158854818034,1.0,0.0,0.0,0.9530583853843252,2.214012638470444,0.0,0.0
161,0.0,-4.064388765818428,1.0,0.0,0.0,0.2542447092738229,0.8137603137422514,0.0,0.0
33,0.0,-2.0702283243423794,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.03806979161496378,-4.530120041574262,-4.530120041574262,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,-5.047515295657781,1.0,0.7019574495953039,1.6666445092866897,0.46561082143222593,1.2077948596099326,0.023867006109137237,0.3155441069251777
36,0.11693232303482758,-2.2265113593157166,-2.2265113593157166,0.0,0.0,0.0,0.0,0.0,0.0
40,0.054678920880936226,-4.178442138545936,-4.178442138545936,0.0,0.0,0.0,0.0,0.0,0.0
41,0.14468748312530574,-2.025220265455103,-2.025220265455103,0.0,0.0,0.0,0.0,0.0,0.0
42,0.20974736899363153,-1.8609522870938164,-1.8609522870938164,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,-3.6369260397333703,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.04089498050478827,-4.451395283178394,-4.451395283178394,0.0,0.0,0.0,0.0,0.0,0.0
45,0.2150593036620939,-1.8337912235790232,-1.8337912235790232,0.0,0.0,0.0,0.0,0.0,0.0
49,0.22180299917035012,-1.8018448412124313,-1.8018448412124313,0.0,0.0,0.0,0.0,0.0,0.0
53,0.2350739619748624,-2.0031255916464796,-2.0031255916464796,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,-4.272202868994637,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.23599983492769644,-2.0138686203706984,-2.0138686203706984,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,-1.882508071304866,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.23163255476521927,-2.0342021362045384,-2.0342021362045384,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,-2.043783359510427,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.22346243090950815,-2.1907660229411756,-2.1907660229411756,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,-3.464180777584639,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.24820908271377576,-2.0039130347031717,-2.0039130347031717,0.0,0.0,0.0,0.0,0.0,0.0
65,0.046068909551520355,-4.09411025971769,-4.09411025971769,0.0,0.0,0.0,0.0,0.0,0.0
66,0.19312920914022247,-2.332841234168447,-2.332841234168447,0.0,0.0,0.0,0.0,0.0,0.0
356,0.0,-5.52685638353346,1.0,0.0,0.0,1.281483529724772,3.0624809919433797,0.0,0.0
504,0.0,-2.0406091824152446,1.0,0.0,0.0,-0.014137671639973023,0.16677637309331736,0.0,0.0
73,0.2142409007740377,-2.1519640727304776,-2.1519640727304776,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,-2.0882953735146397,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,-1.8983994514050533,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.21551852036378907,-2.294535036451386,-2.294535036451386,0.0,0.0,0.0,0.0,0.0,0.0
79,0.17624221232919826,-2.465750097139004,-2.465750097139004,0.0,0.0,0.0,0.0,0.0,0.0
508,0.0,-5.318166766508331,1.0,0.0,0.0,1.1559664458491357,2.721677353944601,0.0,0.0
83,0.040634408099998354,-3.7363765206544883,-3.7363765206544883,0.0,0.0,0.0,0.0,0.0,0.0
148,0.020466283833587454,-5.587315234995382,-6.241285451861845,-0.010371650011895536,0.18891848859325644,0.877335954033899,2.040439836342392,1.2071565487115887,2.859206934585194
291,0.0,-4.6132842656425215,1.0,1.3329105353862518,3.198983015709375,0.7454424518787728,1.756061608755551,1.1701942004840342,2.759581230805138
333,0.0,-2.8928996754718117,1.0,1.1657174950769018,2.7476261999918523,0.023867006109137237,0.3155441069251777,0.7019574495953039,1.6666445092866897
89,0.20678295161421414,-1.88063056973499,-1.88063056973499,0.0,0.0,0.0,0.0,0.0,0.0
95,0.009584831318919934,-5.304152781381725,-5.304152781381725,0.0,0.0,0.0,0.0,0.0,0.0
645,0.0,-4.569477369066978,1.0,0.0,0.0,0.7019574495953039,1.6666445092866897,1.1657174950769018,2.7476261999918523
998,0.0,-5.369308308519808,1.0,0.0,0.0,1.3329105353862518,3.198983015709375,0.0,0.0
101,0.2712909045922446,-1.9934354851588865,-1.9934354851588865,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,-1.9516571905038806,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,-1.9793679461412599,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,-3.4254411929330497,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.23154018833624843,-2.1772888354312796,-2.1772888354312796,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,-1.959657202409347,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,-4.408354075434268,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,-3.6758617325468586,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.03481682733128375,-3.804756580861781,-3.804756580861781,0.0,0.0,0.0,0.0,0.0,0.0
122,0.21610413778243018,-2.2715673891449732,-2.2715673891449732,0.0,0.0,0.0,0.0,0.0,0.0
123,0.09559014910898746,-3.70967909184176,-3.70967909184176,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,-4.030946867460517,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,-2.075742907103126,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.22613327466162805,-2.168322178169548,-2.168322178169548,0.0,0.0,0.0,0.0,0.0,0.0
137,0.13902473517829644,-2.1061930540403604,-2.1061930540403604,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,-4.089502788589515,1.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,-3.985544176522632,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1045,0.0,-5.249285982159082,1.0,0.0,0.0,1.1657174950769018,2.7476261999918523,0.0,0.0
144,0.13440853577251524,-2.05982661799109,-2.05982661799109,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,-5.498597103789725,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.01909591624258436,-3.050124496558874,-3.050124496558874,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,-2.210987894895381,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1097,0.0,-6.233027408952621,1.0,0.0,0.0,1.2958464045739375,3.1015676114959345,0.0,0.0
26,0.048312571061838554,-5.33260407754272,-5.950414518153105,0.0,0.0,0.0,0.0,0.0,0.0
152,0.2487613190653444,-2.0687506525104435,-2.0687506525104435,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,-5.045862987072211,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,-4.583748714611011,1.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0.27126753788457403,-2.0217029493317638,-2.0217029493317638,0.0,0.0,0.0,0.0,0.0,0.0
165,0.19818860513282724,-2.1821349947951343,-2.1821349947951343,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,-5.809158854818034,1.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.008144237482335085,-3.769861791208292,-3.769861791208292,0.0,0.0,0.0,0.0,0.0,0.0
170,0.18878866861593083,-2.23657337354189,-2.23657337354189,0.0,0.0,0.0,0.0,0.0,0.0
161,0.0,-4.064388765818428,1.0,0.0,0.0,0.0,0.0,0.0,0.0
174,0.1961731095597366,-2.359986044525708,-2.359986044525708,0.0,0.0,0.0,0.0,0.0,0.0
177,0.038206896098930014,-4.050047163222573,-4.050047163222573,0.0,0.0,0.0,0.0,0.0,0.0
180,0.19690825636336803,-2.2641116362903855,-2.2641116362903855,0.0,0.0,0.0,0.0,0.0,0.0
183,0.16500017302936618,-2.538379773872803,-2.538379773872803,0.0,0.0,0.0,0.0,0.0,0.0
185,0.20104831020560218,-1.916026511074079,-1.916026511074079,0.0,0.0,0.0,0.0,0.0,0.0
186,0.19653699061058885,-1.9316418056060325,-1.9316418056060325,0.0,0.0,0.0,0.0,0.0,0.0
188,0.2083848005890813,-1.8769857611040972,-1.8769857611040972,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,-5.047515295657781,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.020466283833587454,-5.587315234995382,-6.241285451861845,0.0,0.0,0.0,0.0,0.0,0.0
291,0.0,-4.6132842656425215,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,-3.696008976588544,1.0,0.0,0.0,0.0,0.0,0.0,0.0
333,0.0,-2.8928996754718117,1.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.025473081479718242,-4.204281623787206,-4.204281623787206,0.0,0.0,0.0,0.0,0.0,0.0
199,0.13394402633205724,-2.0396272526249493,-2.0396272526249493,0.0,0.0,0.0,0.0,0.0,0.0
201,0.0,-3.8393825504725054,1.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0.0,-5.44385611304462,1.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0.0,-3.449889310378933,1.0,0.0,0.0,0.0,0.0,0.0,0.0
207,0.25674440562527123,-2.066258789417186,-2.066258789417186,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0,-1.923258018894715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,-4.543864371979142,1.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,-4.275312537960787,1.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,-1.8671594403965395,1.0,0.0,0.0,0.0,0.0,0.0,0.0
356,0.0,-5.52685638353346,1.0,0.0,0.0,0.0,0.0,0.0,0.0
