pixel_index,color,log_p_z,log_p_z_ref,joint_score_p,joint_score_ref_p,joint_score_nr,joint_score_ref_nr,joint_score_ni,joint_score_ref_ni
2,0.0,-1.8629484223792239,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,-3.6897161745876312,1.0,0.0,0.0,2.113470491379575e-15,2.909720732332565,0.693480183009795,0.0
5,0.04472204091486263,-4.1147806604387,-4.1147806604387,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-4.48140969771671,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,-1.9260505141987736,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.14164181475543328,-3.7562223470668883,-3.7562223470668883,0.0,0.0,0.0,0.0,0.0,0.0
12,0.22224335663657888,-2.065938197151641,-2.065938197151641,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,-1.8789655140091308,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-5.143380173563848,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.21932610706696926,-2.1299006404052934,-2.1299006404052934,0.0,0.0,0.0,0.0,0.0,0.0
24,0.010605308314927063,-3.688821262742047,-3.688821262742047,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,-1.9163734049157455,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,-1.858713128664998,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.17408866170040882,-2.462999763735171,-2.462999763735171,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,-3.2998449592942,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.01786706576857627,-4.4428569478886395,-4.4428569478886395,0.0,0.0,0.0,0.0,0.0,0.0
37,0.13396901593129967,-2.116058610196709,-2.116058610196709,0.0,0.0,0.0,0.0,0.0,0.0
38,0.20213554691564808,-1.9012472868684018,-1.9012472868684018,0.0,0.0,0.0,0.0,0.0,0.0
40,0.21599141271111527,-1.838599013537674,-1.838599013537674,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,-5.567540936894542,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.1594970509364468,-1.9327234819944512,-1.9327234819944512,0.0,0.0,0.0,0.0,0.0,0.0
46,0.22417599333263283,-1.7954903095752939,-1.7954903095752939,0.0,0.0,0.0,0.0,0.0,0.0
50,0.03636234058196624,-3.262470166488862,-3.262470166488862,0.0,0.0,0.0,0.0,0.0,0.0
52,0.2802977674732361,-1.9720594024181737,-1.9720594024181737,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,-3.2123591953285255,1.0,0.0,0.0,1.6982812533490634e-16,4.516276975612972,0.8247069205893336,0.0
57,0.24291359289284503,-2.1073455858941568,-2.1073455858941568,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,-1.8991471879223147,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,-1.8873532574772283,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,-1.8924116695585746,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.019538974805739538,-4.775036778700517,-5.6831516669742195,0.0,0.0,-3.3576258517326072e-15,0.4094822610736996,0.10222741728531348,0.0
71,0.0,-1.8441902971418207,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.24598089476831886,-2.0488122777169373,-2.0488122777169373,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,-1.9794980413966365,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,-4.467011478217927,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.04046925338079832,-3.5752838837751795,-3.5752838837751795,0.0,0.0,0.0,0.0,0.0,0.0
81,0.05737803461046911,-4.22640221553511,-4.22640221553511,0.0,0.0,0.0,0.0,0.0,0.0
82,0.03093543047547448,-4.859349156247868,-4.859349156247868,0.0,0.0,0.0,0.0,0.0,0.0
83,0.027761995277943947,-4.3653952954385655,-4.3653952954385655,0.0,0.0,0.0,0.0,0.0,0.0
84,0.012871114977028133,-3.212987642814517,-3.212987642814517,0.0,0.0,0.0,0.0,0.0,0.0
86,0.015736215583943135,-3.0992565366970695,-3.0992565366970695,0.0,0.0,0.0,0.0,0.0,0.0
91,0.02061352761038888,-3.7222468378980706,-6.940704350503955,0.0,0.0,-4.846524429438434e-16,3.199307730884543,4.675090364588361,0.0
93,0.20827586659195876,-1.8662156702920625,-1.8662156702920625,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,-2.2670193835743073,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,-2.89885875838462,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.07659834893444749,-3.7005135445778112,-6.913294902538963,0.0,0.0,-4.393919732829126e-15,3.18962512702663,0.8309976398529209,0.0
101,0.07096605948687223,-3.909025890993979,-7.038314062320094,0.0,0.0,1.0598301904354377e-15,3.0372033231936713,0.21235259301446874,0.0
102,0.0,-1.908534689193514,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,-1.959477762661163,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,-1.5648733840173017,1.0,0.0,0.0,-1.7092614488560146e-15,1.0393864594406224,0.691451076217108,0.0
106,0.0,-1.8973744377974944,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.11892070450133761,-3.312472157693127,-6.371707634113445,0.0,0.0,-6.354961850645885e-16,2.9071165832361276,0.7094120209632155,0.0
108,0.0009369966753665141,-3.7621691019261716,-3.7621691019261716,0.0,0.0,0.0,0.0,0.0,0.0
111,0.22296811883999024,-2.197027713125651,-2.197027713125651,0.0,0.0,0.0,0.0,0.0,0.0
112,0.08486447212618073,-3.8968572850467624,-3.8968572850467624,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,-4.119847448478916,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.03632383591255506,-3.5448815471400508,-3.5448815471400508,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,-4.88283323195011,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.2338694362471822,-1.8025765069845732,-3.310274281971908,0.0,0.0,9.427423622575444e-17,0.8540132102856851,0.16486455455120286,0.0
124,0.0,-2.0431500281251838,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.17922392019143538,-2.464338343981033,-2.464338343981033,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,-1.9479092585247901,1.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.12673628290894182,-2.2069500963496362,-2.2069500963496362,0.0,0.0,0.0,0.0,0.0,0.0
135,0.01693062433095357,-3.0907366591902488,-3.0907366591902488,0.0,0.0,0.0,0.0,0.0,0.0
136,0.015632903110694468,-3.0494929290451616,-3.0494929290451616,0.0,0.0,0.0,0.0,0.0,0.0
