pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
1524,0.0,-1.386213671578338,-3.2179749214512827,[ 4.99838379e-01 -1.98150997e-09 -2.56114468e-09],[ 4.99838379e-01 -1.98150997e-09 -2.56114468e-09]
1526,0.0,-1.385480147276059,-3.209530019811668,[ 4.98366362e-01 -3.15725513e-09 -3.68973465e-09],[ 4.98366362e-01 -3.15725513e-09 -3.68973465e-09]
1531,0.20194260121662305,-3.262740725023102,-4.854259109962255,[ 4.56406841e-01 -3.44622846e-09 -3.74728195e-09],[ 4.56406841e-01 -3.44622846e-09 -3.74728195e-09]
1561,0.13711550684262946,-3.4253809093033136,-4.89863461595821,[ 4.33846965e-01 -3.68550293e-09 -3.70787978e-09],[ 4.33846965e-01 -3.68550293e-09 -3.70787978e-09]
1568,0.0,-1.3861537059823525,-3.217298342776181,[ 4.99718160e-01 -3.67359501e-09 -3.74407232e-09],[ 4.99718160e-01 -3.67359501e-09 -3.74407232e-09]
1577,0.0,-1.3845311163947909,-3.1983282849353496,[ 4.96462432e-01 -3.46048066e-09 -3.73130744e-09],[ 4.96462432e-01 -3.46048066e-09 -3.73130744e-09]
1582,0.0,-3.7365741668186088,1.0,[ 3.93765365e-01 -3.39071612e-09 -3.68791376e-09],[ 3.93765365e-01 -3.39071612e-09 -3.68791376e-09]
1619,0.0,-1.386024020153833,-3.2158230373537506,[ 4.99458020e-01 -3.49556286e-09 -3.54389428e-09],[ 4.99458020e-01 -3.49556286e-09 -3.54389428e-09]
1627,0.0,-1.3836110711737026,-3.187325155357474,[ 4.94620100e-01 -3.61591477e-09 -3.66580695e-09],[ 4.94620100e-01 -3.61591477e-09 -3.66580695e-09]
1664,0.038498750169072525,-5.898506424217926,-7.643983429392174,[ 4.84197729e-01 -3.64947806e-09 -3.68545549e-09],[ 4.84197729e-01 -3.64947806e-09 -3.68545549e-09]
