pixel_index,color,log_p_z,log_p_z_ref,joint_score_p,joint_score_ref_p,joint_score_nr,joint_score_ref_nr,joint_score_ni,joint_score_ref_ni
0,0.0,-4.077959893221902,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.2540930050357883,-1.94677596082505,-1.94677596082505,0.0,0.0,0.0,0.0,0.0,0.0
6,0.2496484712110702,-2.0785000034398777,-2.0785000034398777,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,-1.9945450508356364,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,-5.829040811711877,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2074045888271549,-2.1074811177559343,-2.1074811177559343,0.0,0.0,0.0,0.0,0.0,0.0
16,0.21310576427726052,-2.2526116580152062,-2.2526116580152062,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,-2.5923128761266554,1.0,0.8586521895207304,2.5256158487489424,0.02523014535718386,0.4165244015079613,1.6486396060409816,4.842734325309591
19,0.23765875701421227,-2.18190238489504,-2.18190238489504,0.0,0.0,0.0,0.0,0.0,0.0
22,0.036828194744196324,-3.743340870322213,-3.743340870322213,0.0,0.0,0.0,0.0,0.0,0.0
26,0.04323755066230285,-3.7157849021238247,-3.7157849021238247,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,-4.276595059381239,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0032295890510312705,-7.113084092331863,-7.113084092331863,0.0,0.0,0.0,0.0,0.0,0.0
30,0.11699780255619402,-3.9179372003191384,-3.9179372003191384,0.0,0.0,0.0,0.0,0.0,0.0
35,0.11110607106422192,-2.2728620891051325,-2.2728620891051325,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,-3.698016653974628,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,-2.2678323470068986,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.15124856545491078,-1.9693553727448254,-1.9693553727448254,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,-4.387075315269398,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.2613083605175861,-2.018463979167788,-2.018463979167788,0.0,0.0,0.0,0.0,0.0,0.0
56,0.01999182778249963,-3.4086567267357424,-3.4086567267357424,0.0,0.0,0.0,0.0,0.0,0.0
901,0.04528881199638977,-5.5965895805380494,-6.778772907537386,0.0,0.0,0.9875613973006302,2.9992354493128652,0.0,0.0
58,0.0,-1.895559802332487,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.23821647108376182,-2.138110208521344,-2.138110208521344,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,-1.9092592543067133,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.10622474204811144,-4.030070020274007,-4.030070020274007,0.0,0.0,0.0,0.0,0.0,0.0
604,0.0,-5.772326304374059,1.0,0.0,0.0,0.8178864962880015,2.3875366657632586,-0.03395801504572615,0.10301314524313654
