pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
0,0.044125752915244634,-3.8380351351381012,-3.8380351351381012,[0. 0. 0.],[0. 0. 0.]
2,0.0,-1.6364298598141902,1.0,[0. 0. 0.],[0. 0. 0.]
4,0.033971520632221926,-4.906905078631526,-4.906905078631526,[0. 0. 0.],[0. 0. 0.]
6,0.0,-1.9342057271955047,1.0,[0. 0. 0.],[0. 0. 0.]
8,0.0,-1.6723278776927886,1.0,[0. 0. 0.],[0. 0. 0.]
10,0.051260148866522186,-3.5526527021311853,-3.5526527021311853,[0. 0. 0.],[0. 0. 0.]
11,0.0,-1.744267724464197,1.0,[0. 0. 0.],[0. 0. 0.]
12,0.22200529295794358,-2.1950610625022247,-2.1950610625022247,[0. 0. 0.],[0. 0. 0.]
13,0.0,-4.538879877852791,1.0,[0. 0. 0.],[0. 0. 0.]
14,0.0,-5.084223642893768,1.0,[-0.80026843 -0.84410421 -0.83567636],[-0.80026843 -0.84410421 -0.83567636]
16,0.0,-5.365826416190691,1.0,[-0.82671681 -0.81276506 -0.39004125],[-0.82671681 -0.81276506 -0.39004125]
21,0.08317249482824957,-4.965301063577818,-6.308058638116202,[-0.86104566 -0.80757075 -0.76920698],[-0.86104566 -0.80757075 -0.76920698]
20,0.0,-5.529382481946225,1.0,[0. 0. 0.],[0. 0. 0.]
22,0.20983336390569074,-2.307830061138552,-2.307830061138552,[0. 0. 0.],[0. 0. 0.]
24,0.2520563529122837,-1.9810872654510827,-1.9810872654510827,[0. 0. 0.],[0. 0. 0.]
27,0.0,-4.4713401794697845,1.0,[0. 0. 0.],[0. 0. 0.]
28,0.0,-2.071350740152535,1.0,[0. 0. 0.],[0. 0. 0.]
31,0.0,-4.578013982210972,1.0,[0. 0. 0.],[0. 0. 0.]
33,0.0,-4.485891647374511,1.0,[0. 0. 0.],[0. 0. 0.]
40,0.16867634024251021,-1.716806594880116,-1.716806594880116,[0. 0. 0.],[0. 0. 0.]
