pixel_index,color,log_p_z,log_p_z_ref,joint_score_p,joint_score_ref_p,joint_score_nr,joint_score_ref_nr,joint_score_ni,joint_score_ref_ni
1,0.0,-1.9430478070572925,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.25180204775206905,-2.0787326908078434,-2.0787326908078434,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,-1.8828528003963774,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.1976588479815181,-2.159428153419435,-2.159428153419435,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,-3.8403926619033975,1.0,6.971579052230709,0.0,-2.5504155740239736e-16,1.05278148711687,8.842282451807653,0.0
23,0.23706646583051078,-2.1979153514012455,-2.1979153514012455,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,-1.8659168287389414,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,-2.087224544935352,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,-6.068273668944034,1.0,6.325087788659318,0.0,-5.17010969019286e-16,1.7306887983841126,0.0,0.0
34,0.0,-5.989257072981713,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,-4.004167627365617,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.1972255236420594,-1.9200464208178616,-1.9200464208178616,0.0,0.0,0.0,0.0,0.0,0.0
41,0.11267895486662535,-2.195385909122807,-2.195385909122807,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,-3.42475670747752,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.033722602321861896,-4.556317079084857,-4.556317079084857,0.0,0.0,0.0,0.0,0.0,0.0
46,0.009850740928384956,-5.461848073776618,-5.461848073776618,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,-3.293494462484719,1.0,0.0,0.0,8.513011228198199e-16,2.769816517015471,15.47121576256437,0.0
49,0.2255135735549065,-1.7870849928345607,-1.7870849928345607,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,-1.8986794841749386,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,-1.8979850326179082,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,-1.917121758600319,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,-1.784876202245121,1.0,0.0,0.0,-6.611719142028479e-16,0.06788957954502825,0.0,0.0
59,0.2219753560652097,-2.1889362328588113,-2.1889362328588113,0.0,0.0,0.0,0.0,0.0,0.0
60,0.21344049208060686,-2.093666761027536,-2.093666761027536,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,-1.8624805535718922,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.2373146355073846,-2.1653074460371853,-2.1653074460371853,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,-1.6519674760840075,1.0,0.0,0.0,-2.9112912412718075e-16,0.7583343508331927,0.0,0.0
70,0.191582190217863,-2.3578050082057183,-2.3578050082057183,0.0,0.0,0.0,0.0,0.0,0.0
81,0.027724199895652637,-4.445656547115726,-4.445656547115726,0.0,0.0,0.0,0.0,0.0,0.0
82,0.011484894155981475,-3.751781863763072,-3.751781863763072,0.0,0.0,0.0,0.0,0.0,0.0
88,0.19537133606897664,-1.932635548174528,-1.932635548174528,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,-4.363843173681189,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.022422525711700645,-3.5438389217088306,-6.175580578308262,-1.759111881345219e-15,2.6120965295537593,-3.386983575912908e-16,2.1757576355469057,17.6943383451861,0.0
96,0.2179504832665323,-1.8211149892410665,-1.8211149892410665,0.0,0.0,0.0,0.0,0.0,0.0
97,0.1243502874116143,-2.0865144017323476,-2.0865144017323476,0.0,0.0,0.0,0.0,0.0,0.0
99,0.1574870468262572,-1.9090793150863488,-1.9090793150863488,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,-1.9304487872462075,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.21992836810568941,-2.0570552220661384,-2.0570552220661384,0.0,0.0,0.0,0.0,0.0,0.0
103,0.24014829943228622,-2.0972336968175758,-2.0972336968175758,0.0,0.0,0.0,0.0,0.0,0.0
307,0.05084841761084323,-3.4813596627645627,-5.589207710417985,11.196780323700521,0.0,-3.4273879820322877e-16,1.4641473350569365,0.0,0.0
105,0.03643730677268633,-4.285974497187787,-4.285974497187787,0.0,0.0,0.0,0.0,0.0,0.0
109,0.2168411433889103,-2.0898323796427305,-2.0898323796427305,0.0,0.0,0.0,0.0,0.0,0.0
111,0.2219500705408831,-2.076654034241449,-2.076654034241449,0.0,0.0,0.0,0.0,0.0,0.0
115,0.2109575632945101,-2.2579017884804937,-2.2579017884804937,0.0,0.0,0.0,0.0,0.0,0.0
116,0.239241853736743,-2.1621988320992704,-2.1621988320992704,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,-1.9545289403199428,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.19183405174152282,-2.3721549358137555,-2.3721549358137555,0.0,0.0,0.0,0.0,0.0,0.0
125,0.22526365421889835,-2.1312231195460676,-2.1312231195460676,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,-4.499123616496934,1.0,-3.921596876234964e-16,1.2413520447319377,-1.738417711489815e-15,2.553995604462845,6.847270393905066,0.0
129,0.20563327420165411,-2.2218503959792506,-2.2218503959792506,0.0,0.0,0.0,0.0,0.0,0.0
258,0.29499951423009246,-1.584317009536494,-4.003222577659656,0.0,0.0,-3.39109727344421e-16,1.8632265148434477,0.0,0.0
135,0.13907638662388205,-2.118827508933683,-2.118827508933683,0.0,0.0,0.0,0.0,0.0,0.0
137,0.20979747797809542,-1.872471555349041,-1.872471555349041,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,-3.532875020528515,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.13017497857489324,-2.1188110504081443,-2.1188110504081443,0.0,0.0,0.0,0.0,0.0,0.0
141,0.20641303148421056,-1.8789113786641123,-1.8789113786641123,0.0,0.0,0.0,0.0,0.0,0.0
142,0.1192779718741854,-2.1678758345497204,-2.1678758345497204,0.0,0.0,0.0,0.0,0.0,0.0
143,0.02714587228001204,-4.9005594566786765,-4.9005594566786765,0.0,0.0,0.0,0.0,0.0,0.0
145,0.21746660807611562,-1.8252089398894387,-1.8252089398894387,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,-5.622765691002319,1.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,-2.0081885064983864,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.04724435297397713,-4.863854376956591,-4.863854376956591,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,-1.8855164413850998,1.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,-3.348665706648303,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,-2.02841339612783,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.23406322138206578,-2.051572914416264,-2.051572914416264,0.0,0.0,0.0,0.0,0.0,0.0
166,0.0,-2.1159751548096257,1.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,-1.8992365420258595,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.22838436849141672,-2.1011023364319374,-2.1011023364319374,0.0,0.0,0.0,0.0,0.0,0.0
171,0.23520051702684447,-2.087870723595019,-2.087870723595019,0.0,0.0,0.0,0.0,0.0,0.0
173,0.0,-2.002000116932393,1.0,0.0,0.0,0.0,0.0,0.0,0.0
175,0.22344836421869077,-2.1420609808629836,-2.1420609808629836,0.0,0.0,0.0,0.0,0.0,0.0
178,0.1871644949453156,-2.4168595165661655,-2.4168595165661655,0.0,0.0,0.0,0.0,0.0,0.0
180,0.21333678446045565,-2.204734266737697,-2.204734266737697,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,-3.8403926619033975,1.0,0.0,0.0,3.678403625728663,0.0,-5.671580857035503e-16,2.525728437060895
184,0.0,-4.363287152819916,1.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0,-2.1938984983220373,1.0,-3.8911311782393125e-15,2.7531188480099202,-2.629601068105875e-16,1.5942252949448672,0.0,0.0
186,9.400202601426176e-05,-4.577903354531394,-4.577903354531394,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,-4.638029756278366,1.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.012568823062860193,-5.501765593558485,-5.501765593558485,0.0,0.0,0.0,0.0,0.0,0.0
191,0.0,-4.911716940148839,1.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,-4.2657422616428695,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.23030386935497157,-2.0351350450898145,-2.0351350450898145,0.0,0.0,0.0,0.0,0.0,0.0
205,0.044927811062921916,-4.21410137909878,-4.21410137909878,0.0,0.0,0.0,0.0,0.0,0.0
207,0.24078794156617217,-2.119609517625283,-2.119609517625283,0.0,0.0,0.0,0.0,0.0,0.0
209,0.0,-5.5396680245009335,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,-1.784876202245121,1.0,-79.43065132761446,5.151574461064896,0.3595356693725493,0.0,-2.450487613320062e-16,2.4232955059295116
211,0.20884278736518297,-2.2474545154944634,-2.2474545154944634,0.0,0.0,0.0,0.0,0.0,0.0
212,0.21574012430611952,-2.1169885118925764,-2.1169885118925764,0.0,0.0,0.0,0.0,0.0,0.0
